GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
ADORA1,0.5794469541909564,0.0,0.004848048929706205,0.0660820861201507,0.0,0.34962291075918844
NEUROG3,4.0050318166433295e-05,0.0,0.9999273134477076,1.5703705040209674e-11,0.0,3.263621842146882e-05
CHD5,0.9122585510156412,0.0,1.5631630610381775e-06,0.002552220859355516,0.0,0.08518766496194313
SCRT2,0.7259767337236526,0.0,4.870840843268952e-05,0.008468879634919912,0.0,0.26550567823299653
CBLN1,0.9676835971322539,0.0,0.00021216313964201656,0.025091482384899992,0.0,0.007012757343202813
LMO2,0.002156401817101772,0.0,0.015563372311603933,1.2557843671657484e-08,0.0,0.9822802133134523
ITPKA,0.10228723985508126,0.0,0.00016120870318438017,0.07220901233614054,0.0,0.8253425391055941
GRP,0.8708640448512902,0.0,0.0001322085238465566,0.0017744055534423442,0.0,0.12722934107142048
KIF1A,0.9294352100486475,0.0,0.000271860256430123,0.007895639504584535,0.0,0.06239729019033619
GRIN1,0.9770072808883975,0.0,4.1364798303227246e-05,0.0034180857501477533,0.0,0.01953326856315177
LHX3,0.8280863973383211,0.0,0.002275088887580584,0.10652184624968641,0.0,0.06311666752441313
ISL1,2.0136298406164623e-07,0.0,0.03126144590667683,0.9682116004753653,0.0,0.0005267522549748157
TBX1,3.2930842535942586e-06,0.0,0.08091145583477838,0.9169140233826361,0.0,0.0021712276983330875
RXRG,0.9981474954630536,0.0,1.213680314168936e-06,0.0009586692333505613,0.0,0.0008926216232829885
SFRP1,0.05489409176201801,0.0,0.0013139624900443843,0.02810839738623297,0.0,0.9156835483617064
CYP24A1,0.8977471482829977,0.0,0.00014146812097884907,0.00010292698069359515,0.0,0.10200845661532901
CBX8,5.105429190375305e-05,0.0,0.0034262002102562403,0.9941406103224276,0.0,0.0023821351754138493
KIRREL3,0.9310737602219722,0.0,0.0052928526929580805,0.012973726971036595,0.0,0.05065966011403454
SLC17A7,1.7689346840308262e-06,0.0,0.0007942346014972929,0.9992022399485614,0.0,1.7565152558123156e-06
KCNK3,0.032813351409623985,0.0,0.0006302077889909006,0.11490677753509457,0.0,0.8516496632662921
GRIK3,0.10041466001792164,0.0,0.013556075015164133,0.0007513725170862227,0.0,0.8852778924498279
ADAMTSL2,1.7712735027142437e-06,0.0,0.00020602354123484075,4.752876338112061e-15,0.0,0.999792205185257
FADS6,0.3457799669520552,0.0,7.136554663869125e-07,0.001972903198040124,0.0,0.6522464161944377
EPS8L1,0.9584083030223249,0.0,3.0779145525470593e-06,0.005406886141341765,0.0,0.03618173292178214
SORCS2,0.9813549693064999,0.0,1.3190212296025456e-06,0.009772372011812198,0.0,0.008871339660459311
ADCYAP1,0.9525042581001129,0.0,0.0007723850273872379,0.039332435800708526,0.0,0.007390921071791183
TCF21,4.475837953681505e-08,0.0,2.802916867369611e-06,0.999996315436198,0.0,8.368885557550927e-07
HMX3,5.393164546539748e-08,0.0,0.007492817252352232,0.9925071239359428,0.0,4.88005927180377e-09
OTOP3,9.215673137407518e-05,0.0,0.0001482035477071246,0.011464586974315554,0.0,0.9882950527466029
NEUROG2,1.5865153855760864e-06,0.0,0.028773632778288077,0.9709992805584065,0.0,0.0002255001479184811
SLC9A3,0.002203158040135464,0.0,0.004429228613124487,0.0015692898677926524,0.0,0.9917983234789484
ARHGAP36,8.025273795511482e-147,0.0,3.235529405410562e-80,1.0,0.0,5.112944113028375e-29
CCDC177,0.94925435790145,0.0,9.007387200216094e-06,0.03544386621397523,0.0,0.01529276849737427
MYOD1,0.0005843580575476874,0.0,3.2556262832314186e-05,0.9969873155428814,0.0,0.002395770136737666
IRX6,0.08253715479790655,0.0,0.07345916124490011,0.06925269217447798,0.0,0.7747509917827167
CYP26A1,0.00043448187797058823,0.0,0.002969593797476461,0.9960215503230211,0.0,0.0005743740015303093
TBX20,5.455690130369081e-06,0.0,0.0014880104846193582,0.998502692161733,0.0,3.841663516484936e-06
RAB37,0.9311058586405465,0.0,1.990402899890802e-09,0.007757161005359524,0.0,0.06113697836369029
WNT3A,0.8227288592957023,0.0,0.0011819096772318655,0.0748342041844881,0.0,0.10125502684257941
TMEM179,3.6721607520919396e-14,0.0,2.533204869550138e-09,5.1128741688209936e-15,0.0,0.9999999974667517
SKAP1,1.2538473773060958e-10,0.0,0.9995375192840339,1.3398007170614396e-06,0.0,0.00046114078986377906
JPH3,0.00040129657058082406,0.0,0.0003432733821375454,1.900166196876107e-05,0.0,0.9992364283853133
FIBCD1,0.13315904061156358,0.0,0.00033284710153890716,0.04627573154834442,0.0,0.8202323807385539
PHF24,0.984455212451694,0.0,1.0630043518105517e-06,0.0002106082315217079,0.0,0.015333116312433585
NKX2-3,3.609322000411355e-21,0.0,0.9993496814601881,0.0006503185398118608,0.0,2.513091964794713e-21
EEF1A2,1.4630203760779922e-10,0.0,2.8003093566475688e-09,3.3560159747948957e-09,0.0,0.9999999936973722
ACOXL,0.004401774398255641,0.0,0.0005939918473369465,3.7799779026559135e-08,0.0,0.9950041959546279
PLCH2,4.976809444630598e-12,0.0,1.7709720215657146e-06,1.3127719623184836e-06,0.0,0.9999969162510401
CCDC33,3.7549188092274315e-10,0.0,6.527675052595106e-05,1.9801443692884034e-09,0.0,0.9999347208938383
SMUG1,3.1345486588851445e-08,0.0,0.0005050474842510593,7.111773649885017e-07,0.0,0.9994942099928968
CBX4,4.2526820801017485e-05,0.0,0.003295271142701793,7.431929564550955e-06,0.0,0.9966547701069329
DPYSL2,0.8233459888003453,0.0,0.00027208167488467936,0.00015651963478594918,0.0,0.1762254098899826
TBKBP1,0.9997158739971046,0.0,8.83538987089675e-09,1.8022332232378786e-05,0.0,0.0002660948352731411
GP1BB,6.094706466270395e-06,0.0,0.00041173471501116,5.103687220318146e-06,0.0,0.9995770668913038
WNT7B,2.1075998243082163e-08,0.0,2.027297904463377e-06,2.0436683506046872e-05,0.0,0.9999775149425922
BARX2,0.05647291666030605,0.0,0.0009207581040974503,0.9323768835039277,0.0,0.010229441731667854
TENM4,0.9809656378796335,0.0,1.0470426148250085e-06,0.012416823927924578,0.0,0.006616491149825385
CACNA2D4,0.9971643122273599,0.0,1.456210942019736e-09,7.172634336566901e-05,0.0,0.0027639599730618744
KCNJ5,0.32781120239161654,0.0,0.0030083033775055498,0.00427774991420135,0.0,0.664902744316678
OVOL1,0.9248492720091787,0.0,1.4190900353858604e-06,0.009293151789776417,0.0,0.0658561571110098
EBF1,1.3304048582804065e-10,0.0,0.9467071895722483,9.702666989504204e-05,0.0,0.05319578362481546
CDK5R2,0.39186390845150193,0.0,0.004575717767317603,0.5257918461004641,0.0,0.07776852768071547
NXPH1,0.013680033060908375,0.0,0.0018443724551806917,0.9819212458172899,0.0,0.002554348666621645
ABLIM2,0.6546079973652881,0.0,4.939596734091091e-08,3.097484627506546e-06,0.0,0.34538885575411726
LEF1,0.7905585357275804,0.0,4.332037123253895e-06,0.012657941196234585,0.0,0.1967791910390629
LRRC4B,0.7761030629250709,0.0,2.9033273402293997e-06,0.001576058812041325,0.0,0.22231797493554747
TRIM36,0.02881333262454814,0.0,0.0001090674488087159,0.9710072462407031,0.0,7.035368593914906e-05
LRFN2,0.004140274411156103,0.0,2.483968988292669e-08,0.599919559672847,0.0,0.39594014107630787
FRMPD1,0.7010186338102012,0.0,0.0032677694477706446,5.792781801475839e-09,0.0,0.2957135909492464
NGFR,2.998220317683741e-29,0.0,0.9999999563112861,1.4940627369626667e-16,0.0,4.3688714141854305e-08
DPYSL5,0.04350534273459932,0.0,0.0030692085865781558,3.3509268225935964e-07,0.0,0.9534251135861405
GBX1,0.4498606823027222,0.0,0.0034207189522567627,0.007888301804742554,0.0,0.5388302969402776
FGF8,0.9166672754033667,0.0,1.779173277381063e-05,0.0027453710898250735,0.0,0.0805695617740336
HOXA11,0.0,0.0,2.5538645531078457e-285,2.642882969219776e-185,1.0,0.0
KCNIP1,0.9603445982951494,0.0,1.376965401971037e-05,0.002917170773868854,0.0,0.03672446127696341
TCF15,0.4460677454112847,0.0,0.00022345454742479152,0.0002607445328705093,0.0,0.5534480555084209
CHST8,0.25585820004365134,0.0,9.280341860814174e-06,0.0016882668302023963,0.0,0.7424442527842845
MNX1,5.884433252858216e-09,0.0,0.08916080718841997,0.9108391865646502,0.0,3.624957037493674e-10
ZBTB7C,0.015455254205925528,0.0,6.94637195656338e-05,0.9844267781465309,0.0,4.8503927976906756e-05
LIN28B,0.005380844901738478,0.0,0.0004767319080462525,0.9717279904538391,0.0,0.022414432736376475
MYT1L,0.9998681718054874,0.0,3.4272410218717353e-10,3.09325968368323e-05,0.0,0.00010089525495155759
PCDH8,0.9732037350979582,0.0,1.8152777884161373e-05,0.014783596730761359,0.0,0.011994515393396544
ASIC2,0.9856859757503542,0.0,6.845461563344686e-07,0.006760062517433895,0.0,0.0075532771860545595
PDGFB,0.003335302808339505,0.0,0.0004388061559979317,0.9929433226152602,0.0,0.0032825684204036464
LY6H,0.8598070188508418,0.0,3.138604807169014e-07,0.016375722127446132,0.0,0.12381694516123191
IQSEC3,0.9994946001425901,0.0,2.7170359622786867e-08,1.7894673972449463e-05,0.0,0.00048747801307636867
TRIM67,0.5353353054000862,0.0,0.0008051833990508568,0.45629625914655675,0.0,0.007563252054307689
KCND3,0.19708068817125582,0.0,0.00043904330197230807,0.7934155181598721,0.0,0.009064750366898884
CDKN2C,0.7236350424271916,0.0,7.746184390343194e-06,3.690094965822641e-05,0.0,0.27632031043875843
ADGRB1,8.275368599927318e-08,0.0,0.00010735505000221551,1.82131975730106e-10,0.0,0.9998925620141785
EHBP1,0.9999112253017562,0.0,6.700236094830237e-09,2.3164737421577588e-05,0.0,6.560326058604976e-05
RTBDN,0.19845017189776326,0.0,0.0001794362895006775,0.7605927954455294,0.0,0.040777596367207
SOX3,7.467222285393543e-15,0.0,4.7647602366194616e-14,0.9997889943780337,0.0,0.00021100562191197825
CITED1,4.7058646602384237e-20,0.0,2.0950936845331335e-19,0.999989378235719,0.0,1.0621764281845289e-05
MFSD4A,0.9880469487530942,0.0,6.263261216640361e-06,0.0015150613642201378,0.0,0.010431726621468105
GPRIN2,0.04291545181887246,0.0,0.00019991021343651992,0.02338440542826643,0.0,0.9335002325394235
COL2A1,5.768574368026474e-20,0.0,0.9999999324411585,5.47338820030666e-13,0.0,6.755829732219097e-08
SPR,5.4375534553191354e-18,0.0,4.37702299442101e-15,0.9999999999990301,0.0,9.64542709355908e-13
ALX3,4.344219847716548e-12,0.0,0.9989563325051668,4.123269912515733e-07,0.0,0.0010432551634969767
ALDH1A3,0.6862158019513103,0.0,0.0006981443673228911,0.02823797392736968,0.0,0.28484807975399845
RAP1GAP,0.9610948052533892,0.0,5.125492559603567e-09,0.004318069772988047,0.0,0.034587119848130794
SEZ6L,0.9267204922780876,0.0,2.9647312804144745e-06,0.03618862072271832,0.0,0.037087922267912354
GIMAP5,0.02185770882983043,0.0,0.0003343518593963416,4.9404533997437e-08,0.0,0.9778078899062407
SIM1,1.5439453469599818e-20,0.0,0.010842493174028797,0.9891575068259628,0.0,9.649420595308105e-15
SLC26A10,4.7620796585173205e-05,0.0,0.0003142838652257491,0.9979986716228377,0.0,0.001639423715352758
SLC18A2,0.06293278961844456,0.0,0.00392355229491267,0.0012158674437930258,0.0,0.9319277906428486
C1QC,6.4741572049136204e-12,0.0,0.00013966303918794943,2.3265346315286153e-09,0.0,0.9998603346278033
UNC13A,0.7120498268042877,0.0,5.97058281914964e-08,0.25744092594978607,0.0,0.030509187540098223
TCEA2,0.9348932237589515,0.0,2.3726878889330655e-07,0.016094680597460716,0.0,0.04901185837479939
PCK1,2.953920266897597e-08,0.0,0.09146712594347566,1.907950621668607e-09,0.0,0.9085328426093704
IRF4,0.009438781412050446,0.0,5.898653443577445e-05,0.820269734141336,0.0,0.17023249791217634
PSD2,0.39501955131581357,0.0,0.0007401780653937169,3.989043915506621e-05,0.0,0.6042003801796387
HOXA1,0.0,0.0,5.960343616678689e-172,1.5706755841301689e-264,1.0,0.0
SP8,4.6698364103344534e-08,0.0,0.00942730702515782,0.9905719221953806,0.0,7.240810983416647e-07
MECOM,0.03466755707037376,0.0,0.021535432769024473,0.10324269783497063,0.0,0.8405543123256305
EGR3,3.64756326662707e-05,0.0,0.030043623667453005,3.612530540199576e-05,0.0,0.9698837753944788
HEY2,0.008504098656830073,0.0,0.00046051891683034747,0.9896508577301643,0.0,0.001384524696175288
HOXB6,0.0,0.0,3.1302172377452784e-193,0.0,1.0,0.0
BCAN,0.0021812726818296268,0.0,0.061977189890167816,0.9313831096131675,0.0,0.004458427814836448
IQSEC2,1.687704582853538e-57,0.0,1.6917111765078665e-45,0.999999999999968,0.0,3.35974874323901e-14
TNNI3,0.00011196808390943377,0.0,8.007255024780971e-06,8.075699263548628e-06,0.0,0.9998719489618013
MCF2L,3.5219232896483263e-07,0.0,3.395089475804082e-10,4.926366590153928e-14,0.0,0.9999996474681137
GLP1R,2.198655053348107e-07,0.0,9.00916371363202e-08,0.005023980276402429,0.0,0.9949757097664544
MRGPRE,0.26844777555066035,0.0,7.065693054933606e-05,2.1650510343461045e-05,0.0,0.7314599170084465
CBX2,0.00044290876951243825,0.0,0.003338212025318907,0.0033356440460179477,0.0,0.9928832351591507
COL4A2,0.9977488596926498,0.0,7.244468891024111e-06,0.002198701363430157,0.0,4.5194475028897356e-05
RASGEF1A,0.7543489430473345,0.0,5.543441052591526e-06,0.0031323010860661938,0.0,0.24251321242554535
DTX1,0.015155937764390342,0.0,1.1281762013544101e-05,8.37368577095823e-05,0.0,0.9847490436158874
CYP46A1,0.9987453869408369,0.0,1.2548912343891256e-07,0.00033860653259934324,0.0,0.0009158810374394428
BMI1,0.9652061386029331,0.0,3.060500065246311e-05,1.6450274261970234e-05,0.0,0.034746806122153875
DPF1,0.9873165537874542,0.0,2.0277041482884544e-06,0.01097962992217163,0.0,0.0017017885862250198
ATP2B2,0.0014222949736684678,0.0,2.328225914946344e-08,8.792649264607132e-08,0.0,0.9985775938175809
DLX1,1.8144687947142978e-20,0.0,0.999178163892964,0.0008218361069748416,0.0,5.969378560317842e-14
PRKCZ,4.83601550857465e-06,0.0,1.7267145985910079e-06,1.3723852556485979e-06,0.0,0.999992064884636
CACNG8,0.9728883899088883,0.0,1.675626623378636e-06,0.0015204508112163602,0.0,0.025589483653271586
NCKAP1L,0.9998055007325978,0.0,7.429894798293151e-09,6.231168365058761e-06,0.0,0.00018826066914415013
LRRN2,1.011616671464208e-08,0.0,4.163056003511822e-05,2.0494039808545512e-17,0.0,0.9999583593237985
POM121L2,1.3487238276976444e-83,0.0,1.0,7.642539912604389e-52,0.0,4.348488003450309e-29
GNAL,0.9896222714744496,0.0,3.2404756508619624e-07,0.007302750955465306,0.0,0.0030746535225214815
CPLX2,0.989194787735109,0.0,3.4809176951102696e-06,0.008090372409423303,0.0,0.002711358937773364
AUTS2,0.7385562425184665,0.0,6.494680773683925e-05,6.980136803529748e-06,0.0,0.2613718305369925
TBC1D21,0.9689527078716917,0.0,9.79687743305793e-09,0.00018858347625153924,0.0,0.030858698855180344
ARC,2.752394566574782e-13,0.0,0.00013236008942662261,1.7152506644334467e-13,0.0,0.9998676399101281
SP5,0.8638885308714386,0.0,3.941238821433928e-05,0.13337327345738612,0.0,0.0026987832829598823
SLC30A3,0.2529156514880446,0.0,0.0012439674012924733,0.6291636746076797,0.0,0.11667670650298485
WNT6,2.690612016095136e-20,0.0,0.9999969125580235,1.165960573535762e-06,0.0,1.9214814017876563e-06
PDZD4,5.58756298577616e-16,0.0,2.042388163114165e-21,0.9967661130088136,0.0,0.0032338869911875366
SCN2B,7.670325744585861e-07,0.0,9.055570426470013e-06,3.1952081659655966e-06,0.0,0.9999869821888334
KCNK10,0.9972458660106946,0.0,1.8049312519963998e-08,0.002138358704619072,0.0,0.0006157572353720278
MTMR9,0.9854297031478874,0.0,4.672057370137623e-05,0.0023363387054393804,0.0,0.012187237572971573
COMP,0.6098014486810932,0.0,0.07706538697117397,0.07969159322123871,0.0,0.2334415711264933
SEZ6,3.675004375745367e-05,0.0,0.658897919061729,6.574506533976722e-08,0.0,0.3410652651494485
AQP5,0.8345055907409704,0.0,0.00012257475093454685,0.10984014861305012,0.0,0.05553168589504353
EFNB3,0.8817565795859125,0.0,3.0507549089706674e-05,0.10384410902532913,0.0,0.014368803839670433
GABRD,0.0004060455125500771,0.0,1.5125586918178753e-05,7.722733098231456e-08,0.0,0.9995787516731998
DNAH8,0.9989262158325924,0.0,1.0113973322242764e-07,0.0005747326189231752,0.0,0.0004989504087517329
MAL,0.8568592960841988,0.0,1.1002315480307651e-07,0.0032237245099077374,0.0,0.13991686938273729
SORCS3,3.280605157023739e-05,0.0,0.00016518220605920062,0.9921386978513302,0.0,0.00766331389104048
HOXC6,0.0,1.0,1.221707780867647e-137,0.0,0.0,0.0
ST8SIA3,0.9664617220721261,0.0,5.25352422555577e-06,0.01013000484601954,0.0,0.023403019557627285
FGD5,1.9368913009139637e-07,0.0,0.006600893991590509,6.094164008995294e-07,0.0,0.9933983029028791
BEAN1,0.7064551416249448,0.0,0.0007685003110571643,0.05556921515645641,0.0,0.23720714290754
DGKK,1.035499996469805e-46,0.0,5.387965475967368e-34,0.9999999995331876,0.0,4.668136159787779e-10
NFASC,0.9944361415712197,0.0,7.502261039797538e-06,0.004479913740575985,0.0,0.0010764424271642867
SLC6A3,0.9911969253036816,0.0,6.904602014322355e-06,0.005290705036464686,0.0,0.003505465057837873
