GENE,cluster1,cluster2,cluster3,cluster4
NKX2-2,0.0,2.2886925634606977e-13,5.402410297060265e-11,0.9999999999457465
MNX1,0.0,2.3441441559319466e-06,7.884154326718602e-42,0.9999976558558442
PHF21B,0.0,0.7153133170429141,3.918266961713218e-52,0.2846866829570873
MEIS1,0.0,0.972214845570374,3.7766392375901633e-270,0.027785154429626615
HOXC5,1.0,0.0,0.0,6.434420962064468e-226
INHBB,0.0,0.9912940643245028,2.3132101632283434e-82,0.008705935675498567
NEUROD2,0.0,2.469974895834964e-07,1.2007720411596015e-64,0.9999997530025112
BHLHE22,0.0,0.07714360385253963,1.3772022460195585e-134,0.9228563961474596
HOXC8,1.0,0.0,0.0,6.985820009096792e-200
SIM1,0.0,4.99387026506264e-13,3.0393597548603676e-35,0.9999999999994991
FAM172A,0.0,0.9882275599022164,4.070304772010375e-261,0.011772440097783197
BUB3,0.0,4.326540190202107e-05,2.505761627129512e-61,0.9999567345980985
ISL1,0.0,1.9070251145284888e-06,1.2478373089724027e-95,0.9999980929748837
IGSF21,0.0,1.2484604287261187e-08,7.443725077846637e-70,0.9999999875153948
PAX1,0.0,4.6113398789199915e-06,1.0481178099676504e-94,0.9999953886601202
EXOC6,0.0,0.9813424392521554,1.5420757092106974e-269,0.018657560747843496
BCL11A,0.0,0.9999999663768234,1.2662652294677847e-201,3.362317497257368e-08
SLC17A7,0.0,0.0013146960685161918,4.261910853953746e-54,0.998685303931482
TBX20,0.0,0.0001577672044272188,2.7221044003126537e-66,0.999842232795571
FOXA1,0.0,2.5778343418570064e-06,4.287248414525215e-45,0.9999974221656567
GSC,0.0,0.0009408819117542254,1.9743513282999019e-87,0.9990591180882453
ALX4,0.0,8.252668058586146e-11,0.04464774226305918,0.9553522576544127
IGF2BP3,0.0,0.9999988050647238,2.323782267036965e-216,1.1949352764364084e-06
THBD,0.0,0.8150188464382995,1.4548969797863052e-195,0.1849811535616995
CDC20B,0.0,0.5390172520158173,1.2878561587517591e-113,0.4609827479841845
FOXG1,0.0,3.5041040041220355e-07,1.056887205475035e-59,0.9999996495895981
PDX1,0.0,4.557253907206093e-06,4.44673924451666e-22,0.999995442746094
ATOH1,0.0,0.0010569537962438094,1.212421895004604e-99,0.998943046203757
BMI1,0.0,0.9911029803295139,9.211978110115609e-269,0.008897019670487635
DOK7,0.0,0.9738362727448839,2.9720225718984826e-169,0.02616372725511649
SIX6,0.0,6.819706729633406e-07,1.8388453665019295e-31,0.9999993180293262
HAPLN2,0.0,0.00017061678399792025,8.298963628710464e-127,0.9998293832160016
RGMA,0.0,0.9935705723005116,7.161756768032578e-147,0.0064294276994890116
CBX8,0.0,1.4383189777187649e-05,6.363109237586996e-90,0.999985616810223
EPS8L1,0.0,0.48535958169124865,1.1646119589105648e-157,0.51464041830875
VSX1,0.0,0.007200648348875796,1.7572300481333087e-75,0.9927993516511244
DNAJC22,0.0,0.8157829655963735,7.15210235477029e-162,0.1842170344036258
FOXD1,0.0,1.0683451343140212e-08,1.5311828726235937e-61,0.9999999893165495
RIPK3,0.0,0.9229526372071303,6.120096025344451e-228,0.07704736279286908
GABRD,0.0,0.9985569883021789,4.938468835752046e-36,0.0014430116978195772
POU2F3,0.0,0.8428384734656021,4.059663394461911e-92,0.15716152653439913
COL2A1,0.0,0.0014166585249680071,2.9150736204523617e-294,0.9985833414750314
NKD2,0.0,0.9271027493353456,2.7711859868296335e-66,0.07289725066465458
PRRX1,0.0,0.19638270274350572,1.2240527835951366e-182,0.803617297256493
KCNK13,0.0,0.968389744045257,3.1008790851459646e-150,0.03161025595474219
NR2E1,0.0,6.289321857730175e-13,8.359140398891146e-14,0.9999999999992859
ADGRA1,0.0,0.004857667926861553,1.422047078140358e-119,0.9951423320731368
IRF8,0.0,0.9418843294229707,3.578234275866676e-89,0.05811567057702947
PCDH1,0.0,0.9931969343576351,1.4178050867683776e-110,0.006803065642364946
ZFHX3,0.0,0.9974154277316772,0.0,0.0025845722683241553
DNAJB8,0.0,0.9998496983679324,2.228241478174776e-15,0.00015030163206534005
SMUG1,0.0,0.8001969833038421,3.4321223820724873e-292,0.19980301669615835
COL27A1,0.0,0.8928009702908891,1.63836034678311e-197,0.1071990297091098
EGFLAM,0.0,0.941179887754818,4.068787372651775e-118,0.05882011224518132
DMRT3,0.0,2.369217597474464e-09,9.299082227784246e-46,0.9999999976307841
NGFR,0.0,0.0011057951878476898,1.862221685660934e-31,0.9988942048121544
SOX7,0.0,0.2365028745068834,3.368760726899169e-106,0.7634971254931159
EGR4,0.0,0.02051298487272853,1.9185105960146042e-75,0.9794870151272701
PTH1R,0.0,0.907084703847371,1.1873972886572812e-165,0.09291529615263011
BRINP2,0.0,0.05862212829251646,8.3805693812121e-95,0.941377871707482
CD40,0.0,0.352890300467363,4.950779651531213e-118,0.647109699532636
CCDC33,0.0,0.9979646287429482,4.050870603742681e-112,0.002035371257050529
NEUROD1,0.0,0.004603420855605918,2.85525117349641e-97,0.9953965791443938
EPHB3,0.0,0.9967627329343716,6.471804800620703e-235,0.003237267065627407
HOXD9,1.0,5.977137949623554e-254,0.0,7.304685272148534e-213
SLIT1,0.0,0.9804388031721941,2.392659830576338e-81,0.019561196827806864
SPR,0.0,0.9996111379267265,1.2506217386126923e-225,0.0003888620732742878
NTF3,0.0,0.5453959057140985,6.597111456281802e-154,0.45460409428590076
DBX1,0.0,2.6177118692408184e-06,1.5045587594490904e-39,0.9999973822881302
ATOH8,0.0,0.9723481808030148,6.911397711718243e-185,0.02765181919698574
SPAG6,0.0,0.7390518871907998,1.1923528479391864e-169,0.26094811280920077
CACNA1E,0.0,4.3609953457021233e-10,1.02740649317368e-38,0.9999999995639008
ZIC4,0.0,4.002788984063927e-43,0.9999151420082268,8.485799177269445e-05
CLDN9,0.0,0.9774297938227813,2.214996329579433e-146,0.022570206177218183
DMBX1,0.0,0.9048510934410299,5.258739729536612e-199,0.09514890655896889
TNNT2,0.0,0.990975292515136,7.864923126719323e-95,0.00902470748486271
ALDH1A2,0.0,0.7287039036893128,6.1006970685766674e-120,0.27129609631068546
NKX3-1,0.0,5.5588925789077286e-11,6.955546901744333e-53,0.9999999999444142
MEIS3,0.0,3.800537075518697e-07,1.1017919717804934e-70,0.9999996199462917
PRMT8,0.0,0.4355761138702788,2.271169189859938e-115,0.5644238861297227
SOX21,0.0,0.00021449836203337713,2.595280341837159e-39,0.9997855016379669
EVX1,0.0,1.3478977905428728e-76,1.0,5.7893437254934825e-50
WNT7A,0.0,0.18207106613048865,3.339089148311345e-144,0.8179289338695118
GRIN2C,0.0,0.30909925633106833,2.8364943341452318e-158,0.6909007436689317
FRMD4A,0.0,0.9799512960369177,2.3873845508407148e-247,0.02004870396308124
FZD10,0.0,1.1856238222219338e-05,4.377926772057114e-120,0.9999881437617784
ACTR5,0.0,0.08693779542188193,2.4641264212834837e-106,0.9130622045781177
SSTR4,0.0,0.842497919645244,3.8949791585047016e-165,0.1575020803547574
SERTAD4,0.0,0.9820570254536969,1.999790265722558e-156,0.0179429745463039
ZFHX4,0.0,0.028869828603445544,8.655709709195237e-143,0.9711301713965547
ANKRD1,0.0,0.9928326004097339,0.0,0.00716739959026489
ADRA2C,0.0,4.232131310957153e-09,3.553134364593586e-13,0.9999999957675101
VPREB1,0.0,0.8390634482503386,0.0,0.16093655174966112
NTSR1,0.0,1.0965150479060266e-05,4.4023844261754244e-62,0.9999890348495222
TNNI3,0.0,0.016827878462555936,4.2699344150693125e-154,0.9831721215374458
ESX1,0.0,5.9567862899118846e-08,2.7639674036382944e-226,0.9999999404321347
CYP26B1,0.0,0.9055129373039127,1.4852090875158271e-95,0.09448706269608605
NPTX1,0.0,6.140200750465331e-07,4.309909151682358e-77,0.9999993859799263
COMMD3,0.0,0.9938835416892113,7.420553249066873e-296,0.006116458310787915
KCNA2,0.0,0.9790783958256226,6.266626452899036e-188,0.02092160417437889
VGLL2,0.0,0.000208353407117191,4.436585747446378e-77,0.9997916465928821
FGF8,0.0,0.9671028862929262,1.0890534561717344e-92,0.03289711370707549
PTF1A,0.0,8.744184047243319e-13,1.463554679150671e-41,0.999999999999126
GPX8,0.0,0.9997659273024354,1.8471583249765356e-241,0.0002340726975662831
C1QB,0.0,0.9970117318683804,2.5080109156793136e-75,0.002988268131619817
CD6,0.0,0.994282630077689,7.909151626920193e-206,0.005717369922312255
STC2,0.0,0.9752830444571031,1.8737866945228877e-120,0.02471695554289632
LINGO1,0.0,0.9999999999980673,1.6646065093903545e-27,1.936038620507183e-12
SOX14,0.0,0.0005145280232036665,2.3833863088392154e-98,0.9994854719767954
TNFRSF12A,0.0,0.8744040154326405,1.6491442233993045e-162,0.12559598456736007
CABP7,0.0,0.9211396675328976,1.7895735112888009e-121,0.07886033246710107
SKOR1,0.0,7.151876303911216e-06,2.0290181509638958e-107,0.9999928481236952
HOXC9,1.0,0.0,0.0,5.785500517622473e-187
SATB2,0.0,0.0022297408361421894,9.169153685325328e-50,0.9977702591638584
RFX4,0.0,0.00012940487308659581,3.733789510288797e-66,0.9998705951269145
SMARCD3,0.0,0.9767635407075526,2.6954825729031133e-155,0.02323645929244574
UNC5A,0.0,3.6386327419023656e-05,1.2736424916357364e-56,0.9999636136725805
CACNA1G,0.0,0.9306631380332862,3.8822541724699083e-132,0.06933686196671567
LHX9,0.0,5.369867793564928e-06,3.742618877360569e-61,0.9999946301322078
SYT2,0.0,0.9898169029715389,1.3159139009266392e-65,0.010183097028462703
TJP1,0.0,0.8528313081773016,5.390483201602774e-175,0.14716869182269926
C1QL1,0.0,0.9089086395851138,1.9612191191557395e-141,0.09109136041488448
HOXD12,1.0,4.864797930247131e-241,0.0,1.2199516863080102e-192
HOXC6,1.0,0.0,0.0,1.5691944818949894e-195
SCUBE1,0.0,0.9519257403949068,1.3008389544949387e-44,0.0480742596050946
BARHL2,0.0,5.4994653795341803e-17,3.7788773485791233e-07,0.9999996221122668
MKX,0.0,0.5079469235262184,2.288330122532785e-107,0.4920530764737814
MTHFSD,0.0,0.1630340498208058,2.712465982560804e-241,0.8369659501791958
STK3,0.0,0.987818599529844,3.94094958132047e-279,0.012181400470157774
BLK,0.0,0.9612291197791499,6.027336814625592e-222,0.038770880220850526
CDK5R2,0.0,0.010355119648995619,6.481517945067587e-62,0.9896448803510033
WNT3A,0.0,0.3141604200818217,8.175013341387548e-155,0.685839579918177
FOXB2,0.0,3.65930767530262e-07,5.771611922564664e-38,0.9999996340692329
PEAR1,0.0,0.003284223176689354,1.8721623865645077e-143,0.9967157768233096
PRSS56,0.0,0.9615342414943971,2.802869456459246e-95,0.0384657585056023
ZMYND15,0.0,0.931730946185975,2.3197700402595177e-173,0.06826905381402619
OAF,0.0,0.9974903408306768,0.0,0.0025096591693217958
TFAP2D,0.0,4.3664527932679527e-07,2.285657118361713e-107,0.9999995633547195
SYNDIG1L,0.0,0.9972819147615273,6.651413158620802e-105,0.0027180852384728403
KRT77,0.0,0.999987906477708,1.297290456272767e-90,1.2093522293855022e-05
KIF26A,0.0,3.475563276339495e-05,2.7406552748577857e-97,0.9999652443672365
HOXD10,1.0,4.5107350822485796e-251,0.0,3.4797666788569033e-209
NKX3-2,0.0,5.6218668153186185e-09,3.1460980306069254e-16,0.9999999943781326
BAHCC1,0.0,0.9977670231697457,9.55792096e-316,0.002232976830253613
KCNJ5,0.0,0.991645405435112,1.4095018900113953e-190,0.008354594564889014
QSOX2,0.0,0.9213793034543654,2.7409778376901846e-199,0.07862069654563522
WNT5A,0.0,0.9607958770210571,2.775240147617506e-196,0.03920412297894459
WDFY4,0.0,0.9945427806723073,1.1443452314767278e-193,0.005457219327692316
SKAP1,0.0,4.152771396166809e-09,4.343951382882305e-102,0.9999999958472294
TMPRSS6,0.0,0.9989062578771898,6.545079132274734e-67,0.001093742122809943
HOXC13,1.0,1.19572429813304e-310,0.0,2.945201901179435e-136
IFITM10,0.0,0.9609102115275241,2.3765024539822435e-201,0.03908978847247491
GAD2,0.0,0.00011354042014199205,1.174037906998697e-99,0.9998864595798566
GRM8,0.0,0.644658025527746,6.965303713172501e-117,0.3553419744722524
HCK,0.0,0.9999287028494507,2.1090350443921985e-118,7.129715054929777e-05
ASCL2,0.0,0.9382037115802384,5.484979574087276e-108,0.06179628841976327
RASGRF1,0.0,0.050761315118127426,5.9595345425364734e-61,0.9492386848818716
PCDHGA12,0.0,0.9999999999999929,1.487503511998607e-97,5.956958482930814e-15
IRX3,0.0,0.7226180002315044,1.2604732034392178e-197,0.2773819997684963
MECOM,0.0,0.48741191285648927,1.0161915868506691e-145,0.5125880871435099
PLAGL1,0.0,0.965758866622117,1.2499417922049623e-217,0.03424113337788143
TWIST2,0.0,0.6738063746525879,7.981022936160833e-137,0.3261936253474122
RHCG,0.0,0.9998095750510995,2.2496248846591646e-55,0.0001904249489022703
RIPK4,0.0,0.9772719722160044,1.0278533388046274e-142,0.022728027783995308
PITX3,0.0,0.9892896611763675,1.3849970779697153e-239,0.01071033882363409
VSX2,0.0,0.06383405351102682,5.318016371765194e-40,0.9361659464889731
SLC6A12,0.0,0.9532159964373377,2.0955543966196385e-160,0.04678400356266081
BAMBI,0.0,0.9801250788433041,2.681735499396702e-165,0.019874921156696045
HOXB8,1.0,8.539294175923069e-247,4.937195782152256e-180,1.3183820853857525e-173
EDN3,0.0,0.04301120515634158,3.1246224554617896e-108,0.9569887948436596
ADRA2B,0.0,0.9954114801892585,3.4555387949744154e-113,0.004588519810741263
SOX8,0.0,3.776144891093787e-07,1.7914553562311024e-51,0.9999996223855094
TEAD1,0.0,0.9998903176793184,4.125693493800774e-191,0.00010968232068204176
CAMTA1,0.0,0.9850762416070522,1.3824263465844173e-279,0.014923758392947635
SLC1A2,0.0,0.7857488582450998,5.1759385264890376e-129,0.2142511417548996
PKNOX2,0.0,0.9967134700160047,3.646059862340203e-157,0.003286529983995107
SALL3,0.0,4.573451724597121e-05,2.460927908137611e-104,0.9999542654827529
FAM163B,0.0,0.9779247718120827,1.5310035672598559e-65,0.022075228187917982
TSPAN9,0.0,0.9913715338195113,9.255892486693171e-245,0.008628466180487022
HS3ST3B1,0.0,0.4863805906747641,2.540788180875279e-159,0.5136194093252369
ALX1,0.0,0.0023771324530625698,2.26840228836739e-79,0.997622867546936
TBC1D21,0.0,0.9820559075626811,2.575706103242174e-129,0.0179440924373174
HYDIN,0.0,0.7607528385515221,2.8208569665096787e-209,0.23924716144847818
DMRT2,0.0,5.595027808275298e-05,1.1559795099755633e-72,0.9999440497219176
CCDC8,0.0,0.9829176176203142,7.465819597353361e-190,0.01708238237968697
DUOXA1,0.0,0.2979479169997567,2.8362107691693974e-119,0.7020520830002436
EGR3,0.0,0.996157806915062,9.094032061810147e-202,0.0038421930849367437
KCND3,0.0,0.9841994170364223,5.490063603397966e-142,0.015800582963577236
TAL1,0.0,0.014598080789459001,8.250875139710735e-138,0.9854019192105427
