Genes,GSM844492,GSM844495,GSM844497,GSM844499,GSM844501,GSM844503,GSM844505,GSM844507,GSM844521,GSM844522,GSM844523,GSM844524,med_value
IRX2,-0.006406462,0.16316761,0.527596363,0.151413697,0.033071163,0.074076687,-0.058786401,0.249201585,0.074076687,0.276368958,-0.005855907,0.154438961,0.112745192
POU4F2,0.011039246,0.185847448,0.084889155,0.136711289,0.204847096,0.529599558,0.042879239,0.046846088,0.230839471,0.237939304,-0.306233815,-0.070040002,0.110800222
TBX2,-0.2229256,0.214390943,0.186403948,0.223250558,-0.006381495,0.032098013,0.099523457,0.032320368,0.305543125,0.183837383,0.119002123,-0.046884949,0.10926279
PHOX2B,-0.312430482,0.114495267,0.410291537,0.175725702,-0.085666889,0.060900824,0.100664196,0.369532103,0.061248402,-0.024274127,0.133198015,0.436414667,0.107579732
PRDM6,0.110066521,0.063065346,0.283257269,0.264315161,0.123142254,0.34890937,0.106930152,-0.011162132,0.029462544,0.119042647,0.064976334,-0.255611987,0.108498337
FOXD3,0.324539941,0.034620723,-0.092745795,0.144498339,-0.002171469,-0.050581044,0.124942501,0.1131901,0.245640891,-0.051730434,0.099259309,0.156956123,0.106224705
METAP1D,0.055900051,0.252972389,-0.191584876,0.089959905,0.269936986,-0.203385496,0.119955749,0.173472249,0.006062542,0.037437462,0.137960738,0.221341847,0.104957827
IRX1,-0.129064385,0.170001905,0.363613276,0.126135776,0.046028198,0.132307488,0.326144979,-0.057969333,0.064846686,0.126294655,0.079027696,-0.01973411,0.102581736
NKX2-9,0.12933689,0.16309377,0.081186918,0.244566476,0.065085189,0.27268074,-0.09165924,0.163197924,-0.141972825,0.089507821,0.113632725,-0.001129478,0.101570273
OLIG3,0.374909751,0.493215023,0.038706376,0.232234617,-0.148017561,0.418338576,0.156870372,-0.122603892,-0.075290575,0.184496865,-0.105118068,-0.139083502,0.097788374
EPHA8,-0.194646406,0.221153417,0.588498071,0.446268145,0.309158716,0.201228206,-0.164489329,0.109686631,-0.05094757,-0.300801628,-0.219790386,0.081835755,0.095761193
IRX5,0.155608479,0.283505469,0.243213756,0.203791835,0.008629826,-0.021523783,-0.097557329,0.050784306,-0.137535994,0.14860996,-0.022729955,0.136190474,0.09348739
SIX1,-0.114848759,0.610116444,-0.00169513,0.122418223,0.094686922,0.125919706,-0.001657735,-0.020957627,0.079417246,0.087337688,0.14021965,0.150211422,0.091012305
OSR1,0.059609025,0.139505941,0.003980896,0.035084699,0.171007918,0.158120895,0.125995864,0.045792678,0.12148995,0.022814816,0.21918342,0.005790149,0.090549488
SLC9A3,0.044855389,0.20789657,0.02271186,-0.109945923,0.16275793,0.200265873,-0.01887481,0.097112071,0.038362571,0.078996633,0.178106291,0.099155173,0.088054352
FEZF2,0.082537897,-0.175982886,0.277724298,-0.221429834,0.240142765,0.460429541,0.113259534,-0.30309276,0.563550756,-0.098422584,0.093289058,-0.131793482,0.087913478
EBF2,0.04039028,0.227219947,-0.206747617,-0.071966214,-0.043376886,0.191763352,0.13085825,0.163949856,0.044604121,0.21543924,0.241293659,-0.253212836,0.087731186
TBX18,-0.093007991,0.080687939,0.384936493,0.09380219,-0.027294909,0.064239601,0.183527133,-0.034591791,0.289346544,-0.027085494,0.167723588,0.233707797,0.087245065
MEIS2,0.006607973,0.227861854,0.122003975,0.154562427,0.090604741,0.081600556,0.044097052,0.025241492,0.154284065,0.107115789,0.082943075,0.009244237,0.086773908
SLC12A5,0.163394204,0.091150404,0.034885061,-0.174920613,0.137211471,0.221098481,-0.122657898,0.104902837,0.129739724,-0.079490508,0.076410432,-0.291398599,0.083780418
PRDM16,0.295012156,-0.171594505,-0.239415925,0.066955483,0.002982571,0.11901809,0.263820629,0.409867494,-0.241537378,0.100663067,0.139368056,0.057523808,0.083809275
LHX8,-0.057738879,0.052421612,0.110280804,0.181837472,0.013209652,-0.048681323,0.060010161,0.107745712,0.235859132,-0.028098715,0.20056718,0.106640063,0.083325112
NR2F1,-0.059217146,0.062185669,0.011731973,-0.008274951,0.163578781,0.148465134,0.169006966,0.085053722,0.075063019,-0.006181503,0.189543767,0.096698788,0.080058371
OSR2,-0.11998884,0.160486235,0.159752666,0.029275212,-0.140258632,0.130383791,-0.073982125,0.286390849,0.283420369,-0.040114554,0.248635679,-0.185545631,0.079829502
GATA4,0.088568343,-0.479242716,0.615227288,-0.58557077,0.113600641,-1.425520159,0.64858717,-0.052587888,0.06510585,0.510569947,-0.940028432,0.162142563,0.076837097
PRSS16,-0.117404923,0.138862144,0.827094402,0.235480565,0.245670381,0.190096237,-0.000379405,-0.302633409,0.011137493,0.32635674,-0.340885241,0.011289352,0.075075748
TBX1,0.034939872,0.114131428,0.460324515,0.292302396,0.017308346,0.360383083,-0.161672324,0.161948966,-0.303131798,0.373900147,-0.185130694,-0.187050925,0.07453565
POU3F3,-0.175642514,-0.185093333,0.086549058,0.144926301,0.523061437,0.170963527,0.056628057,0.229678769,-0.357996783,0.350145645,0.036236414,-0.045485274,0.071588558
WNT1,0.101807666,-0.143523911,0.104618751,-0.019684742,-0.336313979,0.088595048,0.152366379,-0.014895216,0.085041681,0.058189974,0.419654985,-0.467914268,0.071615828
CNTFR,0.015086714,0.172582463,0.081129825,0.118426057,0.012955004,0.123631955,0.250096317,-0.037235232,-0.041174282,0.078644395,-0.104918988,0.063769388,0.071206892
BCOR,0.11447541,0.048948825,0.030813871,0.069012034,0.03585498,0.065500652,0.094463339,0.10520172,0.073083765,0.022298703,0.116267294,0.085797178,0.0710479
TWIST1,-0.156841121,0.068700889,0.028058151,0.006933825,0.17665314,0.203780774,0.190794312,0.072749126,0.037254461,-0.040887472,0.287324904,0.095454378,0.070725008
VSTM2B,-0.045069643,0.029856381,-0.156978081,-0.066703791,0.13145764,0.141123778,0.106911619,0.115134954,-0.034332928,-0.068753747,0.158926922,0.142826488,0.068384
EMX1,0.338986384,0.048201319,-0.158898943,-0.156143668,0.16335727,0.403743821,0.08737429,-0.387502265,0.409786401,0.553861091,-0.066202367,-0.0628677,0.067787805
MPPED1,0.079954629,0.052114161,-0.022141054,0.134942089,0.193608359,0.189713605,0.109152781,-0.004522118,0.108692012,0.054377141,-0.001619359,-0.237068197,0.067165885
FOXC2,-0.02135323,-0.065547149,-0.043381112,0.056721439,0.075642525,0.245261068,0.058278548,0.218925804,0.082401747,0.172099785,0.07611765,0.005815838,0.066960537
VAX2,0.178414016,-0.077748878,-0.025224553,0.148289126,0.174248531,0.140693034,-0.646395714,0.139901876,-0.513468153,-0.006271254,0.261663122,-0.13930066,0.066815311
FEZF1,0.226987193,0.163979818,0.136995685,-0.113329542,0.135234816,0.12075478,-0.036733576,-0.096269296,0.19301959,-0.052622028,-0.006396208,0.009960388,0.065357584
PAX6,0.199600008,-0.408195492,-0.116480571,-0.403750837,0.302993176,0.436024314,0.253091874,0.315168421,-0.254006631,0.789872116,-0.069145876,-0.25249258,0.065227066
EN1,-0.386335113,0.516852395,0.280795685,-0.048433457,0.467574806,0.016736269,0.111659382,0.53739293,-0.342240492,-0.158431307,-0.331847357,0.94978873,0.064197826
TCHH,0.219957624,0.14683544,0.208255875,0.071107854,0.081741632,0.000197728,-0.04999231,-0.105652917,-0.022859648,0.147460795,0.056262998,-0.092201727,0.063685426
HOXC4,-0.081295312,-0.01588392,0.044223902,-0.077156793,0.091888656,0.115022845,0.094266083,0.080428241,-0.047191916,-0.036990959,0.095061767,0.092770165,0.062326072
SHH,0.034851865,0.109391795,0.197111212,-0.094827403,-0.314361433,-0.233515855,-0.026825321,0.109122075,-0.464356927,0.241441773,0.099592944,0.089489287,0.062170576
IHH,0.06624113,-0.005523791,0.086574134,0.11803579,-0.244006035,-0.255209086,0.058951434,0.064885377,0.093157486,0.10013586,-0.003290735,-0.18611491,0.061918406
LHX3,0.100285614,0.165637001,0.206466738,0.043195219,0.079616098,0.232154096,-0.218390937,-0.283085526,-0.065441593,-0.04132219,0.435724956,-0.364901794,0.061405659
BARX1,0.270379461,-0.914740947,0.26921323,0.161936234,-0.019852461,0.078781432,0.02919192,0.145996297,-0.221642836,-0.191539259,0.583500119,0.043069163,0.060925298
BMP4,0.096628895,-0.027303382,0.007641612,0.001377655,0.047791481,0.072365568,0.098792383,0.115887934,-0.026648565,0.00374367,0.085545088,0.119048817,0.060078525
SALL1,-0.056515376,0.057877084,0.142668154,0.041954267,0.063967796,0.062197837,0.007042173,0.126182503,0.159843748,-0.039709473,0.056939877,0.091918762,0.060037461
ROBO3,-0.117192598,0.286636746,-0.066696943,0.101264421,0.241754699,0.03257317,0.15088318,0.032102127,0.401458623,0.048557073,0.069189368,-0.241732356,0.058873221
KCNA1,0.073984044,0.026583063,0.032461814,0.032567694,0.06129539,0.054534349,0.067858098,0.099270126,0.056256382,0.006283877,0.081125873,0.100950593,0.058775886
C1QA,0.138085772,0.033503116,0.1300314,0.050092795,0.150409129,0.066487865,0.132585801,-0.490228876,-0.086169648,0.133316872,-0.065346997,-0.301582147,0.05829033
PLXNA4,-0.061941297,0.031521968,0.058740036,0.085343708,0.007091793,0.057695579,0.064489884,0.154083644,0.092055034,-0.057660911,0.022567487,0.206405989,0.058217808
NR5A1,0.090449979,0.010353603,0.082668802,-0.092556791,0.130377855,-0.119196006,0.174761138,-0.115678438,0.160708417,0.032070699,-0.158978465,0.095277077,0.057369751
HOXB6,-0.412742335,-0.183903662,-0.114146012,-0.332319685,0.301522183,0.315969131,0.254558844,0.228447927,-0.24501793,-0.228551731,0.385811641,0.304378576,0.057150958
CAR4,0.100062622,0.00921446,0.035082523,0.078691912,0.119593681,0.188664345,-0.281091339,-0.001099753,0.097367133,-0.078926381,0.216400795,0.01634267,0.056887218
WNT10B,0.236492179,-0.00105366,0.008197176,-0.057721333,0.187720445,0.272514739,0.086651312,0.391491866,-0.010739352,0.026920232,-0.012692329,0.151746418,0.056785772
PPIE,0.024186101,-0.024491875,-0.085135541,-0.062057845,0.104032989,0.127604128,0.184965811,0.073011122,0.038079097,-0.028661787,0.149330922,0.119911263,0.05554511
LMX1A,-0.060231668,0.025235816,-0.113336749,0.085584549,0.267726181,0.416919884,-0.226539248,0.208825895,0.23225095,-0.009329828,0.402726557,-0.221005468,0.055410183
NEUROG3,0.096483654,0.132484354,0.172866134,-0.19776529,-0.452170023,0.164738028,-0.0675144,-0.401397171,0.317743843,0.013258181,-0.221709976,0.16228886,0.054870918
NTRK1,0.282525864,0.018641532,0.031149243,0.362118597,0.015471832,0.242189337,0.180266152,-0.179839189,0.077792198,0.093179853,-0.022553477,-0.255171417,0.054470721
TBX15,-0.084179238,-0.421034373,-0.143394604,-0.240354642,0.646778185,0.726385361,0.305426811,0.200091155,-0.388334772,-0.073259648,0.204099504,0.18077327,0.053756811
ZIC5,0.478626163,-0.189568617,0.020370696,0.036804903,0.607628694,1.370153872,0.531619974,0.070827409,0.628712607,-0.479988135,-0.125767241,-0.050166143,0.053816156
GRIK3,0.066859654,-0.021079433,0.162347236,0.030852524,0.098118952,0.214910787,0.053098701,0.026893994,-0.113067757,0.052252246,0.007447374,0.150035755,0.052675474
ECEL1,0.200864764,-0.018712309,0.144634878,0.010549022,0.036667063,0.055496735,0.062511531,0.092479781,-0.021334872,-0.033316194,0.171145681,0.049340404,0.05241857
PAX5,-0.334865509,0.143001944,-0.79668694,0.03245493,0.071041488,-0.196808562,1.312528887,0.226551957,0.997845811,-0.065358148,0.550625404,-1.485178632,0.051748209
NKX2-2,0.056648952,-0.245646702,1.027617795,0.911010177,0.046394071,0.090306197,-0.057108521,-0.176403923,0.377417386,0.418588401,-0.611736539,-0.065936122,0.051521512
MNX1,-0.039248608,-0.18297907,0.683020865,0.738331791,-0.296480301,0.03022626,0.072481083,-0.575860287,-0.176430046,0.142896592,0.125760777,0.588991519,0.051353672
PHF21B,-0.048627492,0.066723099,0.068686205,0.028179589,0.056143821,0.01708249,0.045150991,0.094449604,-0.0038422,0.066604963,0.09046348,0.036634339,0.050647406
MEIS1,-0.022116414,-0.021278305,0.056403749,0.067484742,0.007489195,0.040956666,0.078920937,0.101090982,0.070978288,0.067248601,0.028884802,0.044006211,0.05020498
HOXC5,-0.018446897,0.03799678,0.020993604,-0.012078234,0.075587593,0.103023513,0.074378184,0.064881625,-0.002922204,-0.045746357,0.132100448,0.061166546,0.049581663
INHBB,0.033537648,0.034440988,0.208737963,-0.005463387,0.383089537,0.386252016,0.404468238,-0.012537137,-0.169966347,0.064571752,0.255836049,-0.089981787,0.04950637
NEUROD2,0.164100533,-0.0705816,0.103911865,0.115006237,-0.108233716,-0.005500122,-0.243654435,-0.100762959,0.221914496,-0.008218415,0.382010426,0.130567404,0.049205872
BHLHE22,0.067329506,0.052209246,0.113639961,0.089733623,0.044585035,0.029246285,0.068631905,-0.018208518,-0.011985524,0.071581602,0.042728446,-0.017380928,0.048397141
HOXC8,0.046881423,0.076032223,0.004145551,-0.044351781,-0.005220958,0.057205161,-0.049088525,0.071990036,0.091266214,0.048712615,-0.021435,0.085855123,0.047797019
SIM1,0.013566999,-0.343264174,0.24853068,-0.225197798,0.063085043,-0.370678202,0.540188676,0.273915366,0.378997716,0.029956867,0.318833759,-0.058369539,0.046520955
FAM172A,0.083863288,0.073651453,0.082131458,0.101776754,-0.005711814,-0.018756655,0.004615228,0.016123546,0.08795041,0.086888656,-0.041458278,-0.054406881,0.0448875
BUB3,-0.08586085,0.067679443,0.183464085,0.079003992,0.008208666,0.042467685,0.011375156,0.044703331,-0.003977704,-0.031916792,0.071982743,0.061707917,0.043585508
ISL1,0.168397425,0.026766629,0.161795489,0.17736862,-0.167850114,0.057329653,-0.232245886,0.37701187,-0.033110389,-0.168460106,-0.173403675,0.277227032,0.042048141
IGSF21,-0.111107754,-0.071716292,0.522479285,0.049154662,0.304276778,0.066304579,-0.069214536,-0.096458885,-0.060526424,0.158708351,0.02806482,0.102889949,0.038609741
PAX1,0.047639434,0.002892681,0.076127768,0.165269863,0.022636445,0.268758751,-0.059677403,-0.208310631,0.198292686,0.193961295,0.029482693,-0.358153251,0.038561064
EXOC6,0.100929881,0.078449061,0.093200751,0.011634775,0.018419758,-0.002599525,-0.003464141,-0.091064611,0.044711672,0.054110414,0.042918478,0.03247912,0.037698799
BCL11A,-0.18580792,0.109963132,-0.014148955,0.12026438,0.005173271,0.126087268,0.002540334,0.085127668,0.043958976,0.03102429,-0.028055997,0.146131502,0.037491633
SLC17A7,-0.014130383,0.037620048,0.123484517,0.049801463,0.04517369,0.037461374,-0.099994238,-0.003848017,0.158434123,-0.009435013,-0.085850965,0.125634435,0.037540711
TBX20,0.025609898,-0.117045205,-0.023339167,0.06281248,0.149686113,0.220983511,-0.066875707,0.234648322,-0.106565649,0.04905839,0.063284482,-0.034896814,0.037334144
FOXA1,0.376007867,-0.124574632,0.080919605,0.316682298,-0.007053612,0.193273411,-0.416839176,0.19936336,-0.368473372,0.167473188,-0.345562242,-0.353591163,0.036932997
GSC,-0.130546377,0.098163449,-0.192678813,-0.229994318,-0.235409965,0.039474616,0.120163116,0.034031282,0.108390453,0.100687328,0.032017757,0.061527039,0.036752949
ALX4,0.015895581,0.179450881,0.800589473,0.166493658,0.603219002,-0.021810341,0.057462928,-0.051524218,-0.762016369,-0.318246036,0.285500851,-0.310894744,0.036679255
IGF2BP3,0.045846168,0.053531172,0.043158145,0.033170923,0.011396804,0.026983757,0.037462631,0.005331633,0.053407778,0.05146804,0.01801808,0.020230992,0.035316777
THBD,-0.047550149,0.143406421,-0.021976236,0.048243798,-0.003880914,0.017784749,0.049540223,0.022280015,0.121795842,0.0947531,0.060427866,0.013137779,0.035261907
CDC20B,0.065959687,-0.003395683,0.164178362,0.122664216,-0.029063679,0.074510317,-0.028757121,-0.01149614,0.07143863,0.133093845,-0.137249036,0.003766262,0.034862975
FOXG1,0.267542422,0.075975558,0.146682926,-0.126779573,-0.184037851,-0.179912111,-0.232832703,0.046762951,0.031470241,0.037935616,-0.075847979,0.072797194,0.034702929
PDX1,-0.127818329,-0.036928315,0.069236284,-0.193976838,0.166449159,0.245268133,0.417354055,-0.985543464,-0.002819425,0.712927599,0.334127322,-0.273990836,0.03320843
ATOH1,0.042574428,-0.038843262,0.057896343,-0.006347904,-0.033136353,0.062436108,0.027691,0.036315285,-0.048783894,0.040255038,0.047002344,-0.026829854,0.032003143
BMI1,0.058386159,0.058538954,0.078280354,-0.043075379,0.095153787,0.051715257,0.041354006,0.007409818,0.014610634,-0.12633108,0.02225375,0.020964773,0.031803878
DOK7,-0.017432335,0.097701428,0.14533682,0.190421946,-0.059299441,-0.025048448,0.116350996,-0.053867864,0.035242291,0.106551267,-0.025946669,0.027497071,0.031369681
SIX6,0.022384536,-0.053967461,0.276146452,-0.038951228,0.057392061,0.270015266,-0.20002842,0.072682016,-0.048428577,-0.080026142,0.040120518,0.291111111,0.031252527
HAPLN2,0.151641407,0.108551989,0.125544227,-0.234350263,-0.07122032,0.432344936,-0.29181857,-0.008684271,-0.12448614,0.208787474,0.07098566,-0.242359457,0.031150695
RGMA,-0.052545707,0.04012586,0.1086908,0.072565048,0.033039374,0.026793208,-0.043371439,0.110251575,-0.008687582,0.027270176,-0.078813354,0.046599432,0.030154775
