	cluster1	cluster2	cluster3	cluster4	cluster5
Heart_morphogenesis	1	1	1	0.00048	1
Hematopoietic_or_lymphoid_organ_development	1	1	1	0.0013	1
Hindbrain_development	1	1	1	0.00015	1
Inner_ear_development	1	1	1	1.66e-07	1
Inner_ear_morphogenesis	1	1	1	1.35e-05	1
Intermediate_mesoderm_development	1	1	1	0.0068	1
Interneuron_migration	1	1	1	0.0048	1
Intracellular_receptor_signaling_pathway	1	1	1	0.0069	1
Kidney_development	1	1	1	9.68e-07	1
Kidney_mesenchyme_development	1	1	1	9.6e-06	1
Loop_of_Henle_development	1	1	1	0.0029	1
Medial_motor_column_neuron_differentiation	1	1	1	0.0068	1
Mesenchymal_cell_differentiation	1	1	1	2.1e-09	1
Mesenchymal_cell_differentiation_involved_in_kidney_development	1	1	1	2.64e-05	1
Mesenchymal_cell_proliferation	1	1	1	1.78e-06	1
Mesenchymal_cell_proliferation_involved_in_ureter_development	1	1	1	0.0068	1
Mesenchyme_development	1	1	1	8.71e-09	1
Mesenchyme_morphogenesis	1	1	1	5.27e-05	1
Mesoderm_development	1	1	1	0.00041	1
Mesoderm_formation	1	1	1	0.0023	1
Mesoderm_morphogenesis	1	1	1	0.00022	1
Mesonephric_tubule_morphogenesis	1	1	1	0.00097	1
Mesonephros_development	1	1	1	6.44e-05	1
Metanephric_mesenchyme_development	1	1	1	0.0041	1
Metanephric_nephron_development	1	1	1	4.56e-06	1
Metanephros_development	1	1	1	1.01e-08	1
Metencephalon_development	1	1	1	0.002	1
Middle_ear_morphogenesis	1	1	1	4.42e-07	1
Mononuclear_cell_differentiation	1	1	1	0.0029	1
Morphogenesis_of_an_epithelium	1	1	1	9.3e-10	1
Morphogenesis_of_embryonic_epithelium	1	1	1	1.26e-05	1
Motor_neuron_migration	1	1	1	2.07e-06	1
Multicellular_organism_development	1	1	1	9.83e-31	1
Multicellular_organismal_process	1	1	1	3.74e-22	1
Muscle_cell_fate_commitment	1	1	1	0.0064	1
Muscle_organ_development	1	1	1	1.7e-09	1
Muscle_structure_development	1	1	1	4.65e-10	1
Muscle_tissue_development	1	1	1	3.89e-11	1
Myotube_differentiation	1	1	1	0.0032	1
Negative_regulation_of_apoptotic_process	1	1	1	4.72e-06	1
Negative_regulation_of_biological_process	1	1	1	3.81e-12	1
Negative_regulation_of_cell_differentiation	1	1	1	4.32e-11	1
Negative_regulation_of_cell_population_proliferation	1	1	1	9.12e-05	1
Negative_regulation_of_cellular_metabolic_process	1	1	1	3.68e-12	1
Negative_regulation_of_cellular_process	1	1	1	2.45e-13	1
Negative_regulation_of_developmental_process	1	1	1	8.64e-11	1
Negative_regulation_of_epithelial_cell_proliferation	1	1	1	0.0053	1
Negative_regulation_of_macromolecule_metabolic_process	1	1	1	5.05e-10	1
Negative_regulation_of_multicellular_organismal_process	1	1	1	0.0018	1
Negative_regulation_of_neuron_differentiation	1	1	1	1.31e-06	1
Negative_regulation_of_nitrogen_compound_metabolic_process	1	1	1	2.45e-11	1
Negative_regulation_of_transcription,_DNA-templated	1	1	1	1.63e-19	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	1	1	1	2.64e-21	1
Nephron_epithelium_development	1	1	1	6.52e-08	1
Nephron_epithelium_morphogenesis	1	1	1	7.55e-07	1
Nephron_tubule_development	1	1	1	2.34e-06	1
Nephron_tubule_formation	1	1	1	0.00035	1
Nephron_tubule_morphogenesis	1	1	1	1.02e-05	1
Nerve_development	1	1	1	0.00048	1
