	cluster1
Hindbrain_development	4.18e-07
Hindlimb_morphogenesis	2.14e-06
In_utero_embryonic_development	0.0026
Inner_ear_development	5.68e-06
Inner_ear_morphogenesis	1.56e-06
Interneuron_migration	0.00064
Kidney_development	2.3e-08
Kidney_epithelium_development	1.13e-08
Kidney_mesenchyme_development	0.0011
Limb_morphogenesis	1.48e-10
Limbic_system_development	0.00023
Male_gonad_development	0.0067
Male_sex_differentiation	0.0027
Mesenchymal_cell_differentiation	9.07e-06
Mesenchymal_cell_proliferation	0.00024
Mesenchyme_development	7.86e-08
Mesenchyme_morphogenesis	2.57e-05
Mesonephric_tubule_formation	0.0042
Mesonephric_tubule_morphogenesis	3.5e-05
Mesonephros_development	2.49e-09
Metanephric_nephron_development	1.52e-06
Metanephros_development	1.71e-08
Metencephalon_development	0.00024
Midbrain_development	0.0038
Middle_ear_morphogenesis	7.23e-05
Morphogenesis_of_a_branching_structure	7.35e-05
Morphogenesis_of_an_epithelium	7.43e-06
Morphogenesis_of_embryonic_epithelium	0.0077
Motor_neuron_migration	0.0079
Multicellular_organism_development	3.08e-38
Multicellular_organismal_process	4.34e-27
Muscle_cell_differentiation	0.0024
Muscle_organ_development	8.81e-06
Muscle_structure_development	5.63e-09
Muscle_tissue_development	1.73e-10
Negative_regulation_of_RNA_metabolic_process	2.78e-22
Negative_regulation_of_apoptotic_process	0.00081
Negative_regulation_of_biological_process	3.65e-12
Negative_regulation_of_cell_differentiation	6.69e-11
Negative_regulation_of_cellular_biosynthetic_process	2.62e-20
Negative_regulation_of_cellular_metabolic_process	6.34e-15
Negative_regulation_of_cellular_process	2.67e-12
Negative_regulation_of_developmental_process	6.72e-13
Negative_regulation_of_macromolecule_biosynthetic_process	4.7e-21
Negative_regulation_of_macromolecule_metabolic_process	1.86e-12
Negative_regulation_of_metabolic_process	3.61e-12
Negative_regulation_of_multicellular_organismal_process	0.00067
Negative_regulation_of_neuron_differentiation	5.42e-09
Negative_regulation_of_nitrogen_compound_metabolic_process	1.87e-14
Negative_regulation_of_programmed_cell_death	0.00034
Negative_regulation_of_transcription,_DNA-templated	3.55e-22
Negative_regulation_of_transcription_by_RNA_polymerase_II	3.32e-25
Nephron_epithelium_development	9.3e-09
Nephron_tubule_development	1.77e-07
Nephron_tubule_formation	5.87e-05
Nephron_tubule_morphogenesis	5.02e-07
Nervous_system_development	2.93e-38
Neural_crest_cell_differentiation	0.00064
Neural_nucleus_development	0.0093
Neural_precursor_cell_proliferation	8.88e-05
Neuroblast_differentiation	0.0032
Neuroblast_proliferation	0.0028
Neuroepithelial_cell_differentiation	0.00042
Neurogenesis	3.31e-25
Neuron_development	4.2e-11
Neuron_differentiation	7.69e-22
Neuron_fate_commitment	2.62e-13
Neuron_fate_determination	0.0053
Neuron_fate_specification	1.06e-06
Neuron_migration	1.31e-08
Neuron_projection_development	8.93e-07
Neuron_projection_morphogenesis	5.02e-07
Odontogenesis	6.14e-06
Odontogenesis_of_dentin-containing_tooth	0.0027
Olfactory_bulb_development	0.008
Oligodendrocyte_differentiation	0.0022
Ossification	0.0038
Outflow_tract_morphogenesis	0.0017
Pallium_development	1.43e-05
Pancreas_development	0.0017
Pattern_specification_involved_in_metanephros_development	1.58e-05
Pattern_specification_process	2.44e-26
Positive_regulation_of_DNA_binding	0.0051
Positive_regulation_of_biological_process	8.34e-10
Positive_regulation_of_cell_differentiation	6.15e-08
Positive_regulation_of_cell_population_proliferation	1.51e-05
Positive_regulation_of_cellular_biosynthetic_process	3.55e-22
Positive_regulation_of_cellular_metabolic_process	3.34e-16
Positive_regulation_of_cellular_process	6.02e-10
Positive_regulation_of_developmental_process	1.17e-10
Positive_regulation_of_epithelial_cell_proliferation	0.0092
Positive_regulation_of_macromolecule_biosynthetic_process	2.38e-23
Positive_regulation_of_macromolecule_metabolic_process	1.47e-14
Positive_regulation_of_multicellular_organismal_process	6.26e-06
Positive_regulation_of_nervous_system_development	0.0006
Positive_regulation_of_neurogenesis	0.00068
Positive_regulation_of_neuron_differentiation	5.04e-06
Positive_regulation_of_nitrogen_compound_metabolic_process	8e-16
Positive_regulation_of_transcription,_DNA-templated	3.02e-25
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.6e-29
Positive_regulation_of_transcription_regulatory_region_DNA_binding	0.0031
Proximal/distal_pattern_formation	1.01e-07
Regionalization	2.16e-22
Regulation_of_RNA_metabolic_process	1.69e-32
Regulation_of_anatomical_structure_morphogenesis	0.0012
Regulation_of_axon_extension	0.0047
Regulation_of_axon_guidance	0.0066
Regulation_of_biological_quality	0.0019
Regulation_of_cell_differentiation	1.22e-11
Regulation_of_cell_population_proliferation	4.32e-09
Regulation_of_cellular_biosynthetic_process	1.27e-27
Regulation_of_cellular_metabolic_process	7.28e-23
Regulation_of_cellular_process	5.98e-13
Regulation_of_developmental_growth	0.0021
Regulation_of_developmental_process	1.6e-12
Regulation_of_epithelial_cell_differentiation	0.0013
Regulation_of_epithelial_cell_proliferation	1.32e-05
Regulation_of_gene_expression	4.4e-25
Regulation_of_kidney_development	0.0074
Regulation_of_macromolecule_biosynthetic_process	5.34e-29
Regulation_of_macromolecule_metabolic_process	3.02e-20
Regulation_of_multicellular_organismal_development	1.91e-11
Regulation_of_multicellular_organismal_process	5.85e-12
Regulation_of_nervous_system_development	5.68e-06
Regulation_of_neural_precursor_cell_proliferation	0.004
Regulation_of_neurogenesis	1.39e-05
Regulation_of_neuron_differentiation	4.96e-12
Regulation_of_neuron_projection_development	0.0019
Regulation_of_nitrogen_compound_metabolic_process	7.69e-22
Regulation_of_primary_metabolic_process	7.14e-21
Regulation_of_programmed_cell_death	0.0061
Regulation_of_transcription,_DNA-templated	6.62e-32
Regulation_of_transcription_by_RNA_polymerase_II	5.36e-38
Regulation_of_transcription_regulatory_region_DNA_binding	0.0038
Renal_system_development	4.65e-09
Reproductive_structure_development	9.65e-05
Response_to_chemical	0.00011
Roof_of_mouth_development	4.52e-07
Segment_specification	0.00096
Segmentation	1.22e-06
Sensory_organ_development	4.08e-17
Sensory_organ_morphogenesis	1.3e-12
Sensory_system_development	2.77e-08
Sertoli_cell_differentiation	0.0018
Sex_differentiation	4.13e-06
Sinoatrial_node_cell_development	0.0013
Sinoatrial_node_development	0.00032
Skeletal_muscle_tissue_development	0.0042
Skeletal_system_development	2.37e-10
Skeletal_system_morphogenesis	6.1e-10
Smooth_muscle_tissue_development	0.0021
Somite_development	0.0026
Specification_of_nephron_tubule_identity	0.0013
Spinal_cord_development	9.45e-05
Stem_cell_differentiation	2.96e-08
Striated_muscle_cell_differentiation	0.0085
Sympathetic_nervous_system_development	4.48e-06
System_development	2.93e-38
System_process	0.0021
T_cell_differentiation_in_thymus	0.007
Telencephalon_development	4.47e-09
Telencephalon_regionalization	0.0093
Thymus_development	0.00022
Tissue_development	1.86e-23
Tissue_morphogenesis	4.86e-08
Transcription,_DNA-templated	0.0077
Transcription_by_RNA_polymerase_II	0.0012
Tube_development	4.29e-12
Tube_morphogenesis	1.77e-07
Ureter_development	0.00096
Ureteric_bud_development	2.89e-07
Ureteric_bud_morphogenesis	0.00042
Ventral_spinal_cord_development	0.0021
Ventral_spinal_cord_interneuron_fate_commitment	0.0066
