	cluster1
Anatomical_structure_development	4.07e-34
Anatomical_structure_formation_involved_in_morphogenesis	1.31e-08
Anatomical_structure_maturation	0.0024
Anatomical_structure_morphogenesis	2.83e-27
Animal_organ_development	6.94e-36
Animal_organ_morphogenesis	6.88e-23
Anterior/posterior_axon_guidance	0.0025
Anterior/posterior_pattern_specification	2.6e-10
Artery_morphogenesis	0.0083
Atrioventricular_canal_development	0.0093
Autonomic_nervous_system_development	1.32e-05
Axis_specification	0.0055
Axon_development	4.02e-08
Axon_guidance	6.88e-09
Axonogenesis	3.61e-07
Behavior	0.0027
Biological_regulation	1.26e-10
Blood_vessel_development	0.0063
Bone_development	1.13e-05
Bone_morphogenesis	9.95e-06
Brain_development	1.52e-21
Branching_involved_in_ureteric_bud_morphogenesis	0.0019
Branching_morphogenesis_of_an_epithelial_tube	8.79e-05
Camera-type_eye_development	4.6e-06
Camera-type_eye_morphogenesis	0.0036
Cardiac_chamber_development	0.0027
Cardiac_chamber_morphogenesis	0.0028
Cardiac_conduction_system_development	6.17e-05
Cardiac_muscle_cell_development	0.0051
Cardiac_muscle_tissue_development	0.00011
Cardiocyte_differentiation	0.0018
Cell_development	4.97e-18
Cell_differentiation	1.14e-30
Cell_differentiation_in_spinal_cord	0.00024
Cell_fate_commitment	8.01e-18
Cell_fate_determination	4.47e-07
Cell_fate_specification	6.59e-11
Cell_migration	9.18e-05
Cell_morphogenesis	4.62e-07
Cell_morphogenesis_involved_in_differentiation	4.49e-06
Cell_morphogenesis_involved_in_neuron_differentiation	7.96e-07
Cell_motility	0.00032
Cell_population_proliferation	7.2e-13
Cell_projection_morphogenesis	1.3e-07
Cell_projection_organization	0.0012
Cellular_component_morphogenesis	7.04e-07
Cellular_process	0.0013
Central_nervous_system_development	1.05e-27
Central_nervous_system_neuron_development	0.00038
Central_nervous_system_neuron_differentiation	1.07e-12
Cerebellum_development	0.0011
Cerebral_cortex_GABAergic_interneuron_differentiation	0.00024
Cerebral_cortex_neuron_differentiation	0.00024
Chemotaxis	3.47e-05
Chordate_embryonic_development	2.42e-08
Circulatory_system_development	2.48e-08
Columnar/cuboidal_epithelial_cell_differentiation	0.00014
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	0.0018
Connective_tissue_development	0.00058
Cranial_nerve_development	3.5e-05
Developmental_growth	0.00024
Developmental_maturation	0.0017
Developmental_process_involved_in_reproduction	0.0017
Diencephalon_development	0.00021
Digestive_system_development	1.79e-08
Digestive_tract_development	8.4e-08
Digestive_tract_morphogenesis	0.0024
Dopaminergic_neuron_differentiation	1.8e-06
Dorsal/ventral_pattern_formation	0.00031
Ear_development	6.1e-10
Ear_morphogenesis	3.32e-11
Ectodermal_placode_formation	0.0079
Embryo_development	3.4e-21
Embryonic_camera-type_eye_morphogenesis	0.0035
Embryonic_cranial_skeleton_morphogenesis	0.0021
Embryonic_digestive_tract_development	0.0074
Embryonic_digit_morphogenesis	1.54e-07
Embryonic_forelimb_morphogenesis	2.61e-05
Embryonic_heart_tube_development	2.91e-05
Embryonic_hindlimb_morphogenesis	1.38e-05
Embryonic_limb_morphogenesis	2.08e-10
Embryonic_morphogenesis	8.67e-18
Embryonic_organ_development	5.27e-18
Embryonic_organ_morphogenesis	5.64e-14
Embryonic_pattern_specification	1.61e-05
Embryonic_skeletal_joint_development	0.00064
Embryonic_skeletal_joint_morphogenesis	0.0066
Embryonic_skeletal_system_development	7.82e-06
Embryonic_skeletal_system_morphogenesis	6.79e-06
Endocardial_cushion_development	0.0022
Endocrine_system_development	7.86e-08
Epithelial_cell_development	0.0057
Epithelial_cell_differentiation	6.14e-12
Epithelial_tube_morphogenesis	3.61e-07
Epithelium_development	2.8e-18
Eye_development	7.04e-07
Forebrain_anterior/posterior_pattern_specification	0.0005
Forebrain_development	1.31e-16
Forebrain_neuron_differentiation	5.39e-06
Forebrain_regionalization	6.59e-06
Forelimb_morphogenesis	2.05e-07
GABAergic_neuron_differentiation	2.95e-05
Ganglion_development	0.00096
Generation_of_neurons	3.29e-24
Gland_development	2.54e-10
Glial_cell_differentiation	2.2e-05
Glial_cell_fate_commitment	0.0079
Gliogenesis	6.59e-06
Gonad_development	1.71e-05
Head_development	2.38e-23
Heart_development	2.91e-08
Heart_morphogenesis	0.00024
