	cluster1
AV_node_cell_action_potential	0.002
Actin-mediated_cell_contraction	0.0074
Anatomical_structure_development	3.15e-41
Anatomical_structure_formation_involved_in_morphogenesis	3.67e-08
Anatomical_structure_maturation	0.0086
Anatomical_structure_morphogenesis	5.44e-33
Animal_organ_development	7.45e-35
Animal_organ_morphogenesis	6.92e-32
Anterior/posterior_pattern_specification	9.22e-15
Aorta_development	0.0035
Aorta_morphogenesis	0.0043
Apoptotic_process	5.31e-05
Artery_development	5.47e-05
Artery_morphogenesis	0.00074
Atrioventricular_canal_development	0.0075
Autonomic_nervous_system_development	0.00016
Axis_specification	0.0043
Axon_development	2.84e-08
Axon_guidance	4.18e-08
Axonogenesis	4.07e-08
Biological_regulation	4.67e-11
Blood_vessel_development	0.0013
Bone_development	0.0019
Bone_morphogenesis	8.32e-05
Brain_development	9.68e-26
Camera-type_eye_development	1.22e-08
Camera-type_eye_morphogenesis	0.0028
Cardiac_chamber_development	5.11e-05
Cardiac_chamber_morphogenesis	0.00032
Cardiac_conduction_system_development	0.00076
Cardiac_muscle_cell_fate_commitment	0.0026
Cardiac_muscle_tissue_development	1.16e-05
Cardiac_septum_development	0.00013
Cardiac_septum_morphogenesis	0.00097
Cardiocyte_differentiation	0.0089
Cartilage_development	7.42e-07
Cell_development	1.45e-21
Cell_differentiation	3.04e-32
Cell_differentiation_in_spinal_cord	0.0002
Cell_fate_commitment	5.04e-18
Cell_fate_determination	6.77e-06
Cell_fate_specification	8.21e-10
Cell_migration	3.2e-07
Cell_morphogenesis	6.84e-08
Cell_morphogenesis_involved_in_differentiation	6.91e-07
Cell_morphogenesis_involved_in_neuron_differentiation	1.02e-07
Cell_population_proliferation	1.6e-11
Cell_projection_morphogenesis	2.6e-09
Cell_projection_organization	8.99e-06
Cell_proliferation_involved_in_metanephros_development	0.002
Cellular_component_morphogenesis	1.91e-08
Cellular_response_to_BMP_stimulus	0.00012
Cellular_response_to_chemical_stimulus	0.0012
Cellular_response_to_endogenous_stimulus	0.00039
Cellular_response_to_growth_factor_stimulus	0.00072
Cellular_response_to_organic_substance	0.00054
Cellular_response_to_retinoic_acid	0.00085
Central_nervous_system_development	4.72e-32
Central_nervous_system_neuron_development	0.0025
Central_nervous_system_neuron_differentiation	1.1e-10
Cerebral_cortex_GABAergic_interneuron_differentiation	0.00021
Cerebral_cortex_development	0.002
Cerebral_cortex_neuron_differentiation	0.0002
Chordate_embryonic_development	1.13e-17
Circulatory_system_development	1.57e-08
Cochlea_morphogenesis	0.0025
Columnar/cuboidal_epithelial_cell_differentiation	0.00091
Connective_tissue_development	1.66e-06
Cranial_nerve_development	0.0037
Developmental_growth	7.96e-06
Developmental_growth_involved_in_morphogenesis	0.00045
Developmental_maturation	0.0058
Developmental_process	9.48e-38
Developmental_process_involved_in_reproduction	4.06e-05
Diencephalon_development	8.06e-08
Digestive_system_development	0.00076
Digestive_tract_development	0.003
Dopaminergic_neuron_differentiation	2.69e-09
Dorsal/ventral_pattern_formation	1.05e-08
