	cluster1
Dorsal_spinal_cord_development	0.0011
Ear_development	2.08e-15
Ear_morphogenesis	8.74e-14
Ectodermal_placode_formation	0.0063
Embryo_development	6.91e-30
Embryonic_camera-type_eye_morphogenesis	8.26e-06
Embryonic_cranial_skeleton_morphogenesis	4.98e-07
Embryonic_digit_morphogenesis	6.65e-09
Embryonic_epithelial_tube_formation	5.07e-05
Embryonic_forelimb_morphogenesis	4.54e-14
Embryonic_heart_tube_development	0.0021
Embryonic_hindlimb_morphogenesis	1.93e-11
Embryonic_limb_morphogenesis	3.41e-14
Embryonic_morphogenesis	3.04e-29
Embryonic_organ_development	1.88e-23
Embryonic_organ_morphogenesis	6.6e-22
Embryonic_pattern_specification	1.36e-05
Embryonic_skeletal_joint_morphogenesis	0.00021
Embryonic_skeletal_system_development	1.81e-17
Embryonic_skeletal_system_morphogenesis	2.39e-14
Endocardial_cushion_formation	0.0019
Endocardial_cushion_morphogenesis	0.00069
Endocrine_pancreas_development	0.001
Endocrine_system_development	3.94e-10
Epidermis_development	0.0063
Epithelial_cell_differentiation	7.48e-07
Epithelial_tube_morphogenesis	1.78e-06
Epithelium_development	2.36e-20
Eye_development	1.93e-09
Eyelid_development_in_camera-type_eye	0.0075
Forebrain_development	3.06e-23
Forebrain_generation_of_neurons	1.11e-06
Forebrain_neuron_differentiation	4.55e-06
Forebrain_regionalization	5.67e-06
Forelimb_morphogenesis	2.6e-16
Formation_of_primary_germ_layer	0.00025
Ganglion_development	0.00076
Gastrulation	0.00033
Generation_of_neurons	2.16e-27
Gland_development	1.71e-10
Gland_morphogenesis	0.0062
Glandular_epithelial_cell_differentiation	0.0063
Glial_cell_differentiation	0.00012
Gliogenesis	3.36e-05
Head_development	1.31e-27
Heart_development	5.62e-10
Heart_looping	0.0055
Heart_morphogenesis	7.19e-07
Hindbrain_development	3.1e-06
Hindlimb_morphogenesis	3.7e-12
Hippocampus_development	0.0023
In_utero_embryonic_development	0.00011
Inner_ear_development	6.64e-11
Inner_ear_morphogenesis	8.44e-09
Kidney_development	5.4e-06
Kidney_epithelium_development	7.96e-05
Limb_bud_formation	0.0052
Limb_development	2.06e-17
Limb_morphogenesis	1.94e-15
Limbic_system_development	0.00018
Mesenchymal_cell_apoptotic_process	0.00027
Mesenchymal_cell_differentiation	9.22e-08
Mesenchymal_cell_proliferation	9.93e-06
Mesenchyme_development	6.89e-09
Mesenchyme_morphogenesis	1.44e-06
Mesoderm_development	5.37e-06
Mesoderm_formation	0.0082
Mesoderm_morphogenesis	0.0011
Mesonephros_development	4.8e-05
Metanephric_mesenchyme_development	0.00042
Metanephric_nephron_development	0.00043
Metanephros_development	2.49e-06
Metencephalon_development	0.0092
Midbrain_development	3.51e-06
Midbrain_dopaminergic_neuron_differentiation	0.0063
Middle_ear_morphogenesis	2.41e-06
Morphogenesis_of_a_branching_epithelium	0.009
Morphogenesis_of_a_branching_structure	0.0023
Morphogenesis_of_an_epithelium	1.94e-07
Morphogenesis_of_embryonic_epithelium	2.29e-06
Motor_neuron_axon_guidance	0.0043
Motor_neuron_migration	0.00027
Multicellular_organism_development	1.78e-43
Multicellular_organismal_process	1.03e-31
Muscle_cell_differentiation	0.00038
Muscle_cell_fate_commitment	3.26e-05
Muscle_organ_development	1.62e-07
Muscle_structure_development	3.86e-09
Muscle_tissue_development	9.75e-10
Negative_regulation_of_Notch_signaling_pathway	0.009
Negative_regulation_of_RNA_metabolic_process	1.04e-22
Negative_regulation_of_apoptotic_process	5.61e-08
Negative_regulation_of_axon_extension	0.0015
Negative_regulation_of_biological_process	1.02e-12
Negative_regulation_of_cell_death	1.9e-07
Negative_regulation_of_cell_differentiation	2.39e-10
Negative_regulation_of_cellular_biosynthetic_process	1.05e-20
Negative_regulation_of_cellular_metabolic_process	2.45e-15
Negative_regulation_of_cellular_process	3.77e-15
Negative_regulation_of_developmental_process	3.12e-10
Negative_regulation_of_macromolecule_biosynthetic_process	1.92e-21
Negative_regulation_of_macromolecule_metabolic_process	9.84e-15
Negative_regulation_of_mesenchymal_cell_apoptotic_process	0.0043
Negative_regulation_of_multicellular_organismal_process	0.0013
Negative_regulation_of_neurogenesis	1.38e-05
Negative_regulation_of_neuron_apoptotic_process	0.0012
Negative_regulation_of_neuron_death	0.0021
Negative_regulation_of_neuron_differentiation	4.15e-09
Negative_regulation_of_neuron_projection_development	0.0043
Negative_regulation_of_nitrogen_compound_metabolic_process	3.25e-16
Negative_regulation_of_oligodendrocyte_differentiation	0.0089
Negative_regulation_of_transcription,_DNA-templated	1.4e-22
Negative_regulation_of_transcription_by_RNA_polymerase_II	1.17e-25
Nephron_development	8.26e-06
Nephron_epithelium_development	0.00011
Nephron_morphogenesis	0.00011
Nephron_tubule_development	0.00024
Nephron_tubule_formation	0.0011
Nephron_tubule_morphogenesis	0.00079
Nervous_system_development	2.87e-44
Neural_crest_cell_development	0.0019
Neural_crest_cell_differentiation	5.47e-05
Neural_precursor_cell_proliferation	0.00064
Neural_tube_development	0.0003
Neural_tube_patterning	0.00038
Neuroblast_differentiation	8.42e-05
Neuroblast_proliferation	0.0022
Neurogenesis	2.41e-29
Neuron_development	4.06e-12
Neuron_differentiation	5.57e-24
Neuron_fate_commitment	2.85e-08
Neuron_fate_specification	0.00034
Neuron_migration	6.07e-11
Neuron_projection_development	5.39e-09
Neuron_projection_morphogenesis	1.11e-08
Odontogenesis	1.87e-11
Odontogenesis_of_dentin-containing_tooth	1.05e-08
Olfactory_bulb_development	3.05e-05
Oligodendrocyte_differentiation	0.0017
Ossification	2.3e-05
Osteoblast_differentiation	0.0044
Outflow_tract_morphogenesis	0.00013
Pallium_development	1.69e-08
Pancreas_development	1.15e-05
Pancreatic_A_cell_differentiation	0.0043
Parasympathetic_nervous_system_development	0.0009
Pattern_specification_involved_in_metanephros_development	0.00069
Pattern_specification_process	1.28e-34
Pituitary_gland_development	0.0012
Plasma_membrane_bounded_cell_projection_organization	1.44e-05
Positive_regulation_of_DNA_binding	0.004
Positive_regulation_of_RNA_metabolic_process	8.38e-26
Positive_regulation_of_apoptotic_process	0.0047
Positive_regulation_of_axonogenesis	0.0015
Positive_regulation_of_binding	0.0032
Positive_regulation_of_biological_process	6.08e-13
Positive_regulation_of_cell_differentiation	4.01e-08
Positive_regulation_of_cell_population_proliferation	1.1e-05
Positive_regulation_of_cellular_biosynthetic_process	1.91e-23
Positive_regulation_of_cellular_metabolic_process	5.19e-18
Positive_regulation_of_cellular_process	4.47e-13
Positive_regulation_of_collateral_sprouting	0.0052
Positive_regulation_of_developmental_growth	0.00026
Positive_regulation_of_developmental_process	5.15e-09
Positive_regulation_of_epithelial_cell_proliferation	0.0071
Positive_regulation_of_macromolecule_biosynthetic_process	1.09e-24
Positive_regulation_of_macromolecule_metabolic_process	2.72e-18
Positive_regulation_of_metabolic_process	8.27e-17
Positive_regulation_of_multicellular_organismal_process	0.00011
Positive_regulation_of_myoblast_proliferation	0.0063
Positive_regulation_of_nervous_system_development	8.78e-05
Positive_regulation_of_neural_precursor_cell_proliferation	0.00029
Positive_regulation_of_neurogenesis	9.24e-05
Positive_regulation_of_neuron_differentiation	2.41e-08
Positive_regulation_of_nitrogen_compound_metabolic_process	1.26e-17
Positive_regulation_of_ossification	0.003
Positive_regulation_of_transcription,_DNA-templated	1.13e-26
Positive_regulation_of_transcription_by_RNA_polymerase_II	6.92e-32
Positive_regulation_of_transcription_regulatory_region_DNA_binding	0.0025
Programmed_cell_death	3.18e-05
Proximal/distal_pattern_formation	8.06e-08
Regionalization	3.67e-26
Regulation_of_DNA_binding	0.00032
Regulation_of_RNA_metabolic_process	5.86e-31
Regulation_of_amacrine_cell_differentiation	0.0015
Regulation_of_anatomical_structure_morphogenesis	8.78e-05
Regulation_of_animal_organ_formation	0.0031
Regulation_of_apoptotic_process	1.9e-07
Regulation_of_axon_extension	4.88e-06
Regulation_of_axonogenesis	0.007
Regulation_of_binding	0.00032
Regulation_of_bone_mineralization	0.00021
Regulation_of_cell_death	1e-06
Regulation_of_cell_differentiation	1.21e-10
Regulation_of_cell_population_proliferation	1.12e-07
Regulation_of_cell_size	0.00011
Regulation_of_cellular_biosynthetic_process	7.63e-27
Regulation_of_cellular_metabolic_process	1.61e-21
Regulation_of_cellular_process	2.21e-13
Regulation_of_developmental_growth	1.29e-05
Regulation_of_developmental_process	1.52e-10
Regulation_of_epithelial_cell_differentiation	0.0059
Regulation_of_epithelial_cell_proliferation	0.00026
Regulation_of_gene_expression	1.13e-26
Regulation_of_growth	0.002
Regulation_of_macromolecule_biosynthetic_process	3.6e-28
Regulation_of_macromolecule_metabolic_process	9.34e-22
Regulation_of_mesenchymal_cell_apoptotic_process	0.00034
Regulation_of_metabolic_process	1.76e-19
Regulation_of_multicellular_organismal_development	1.45e-08
Regulation_of_multicellular_organismal_process	5.23e-09
Regulation_of_muscle_cell_differentiation	0.0038
Regulation_of_nervous_system_development	8.11e-07
Regulation_of_neural_precursor_cell_proliferation	4.16e-05
Regulation_of_neuroblast_proliferation	0.0098
Regulation_of_neurogenesis	3.21e-07
Regulation_of_neuron_apoptotic_process	0.00036
Regulation_of_neuron_death	0.0017
Regulation_of_neuron_differentiation	2.53e-13
Regulation_of_neuron_projection_development	0.0052
Regulation_of_nitrogen_compound_metabolic_process	3.34e-21
Regulation_of_ossification	0.00027
Regulation_of_primary_metabolic_process	6.13e-21
Regulation_of_skeletal_muscle_tissue_development	0.0035
Regulation_of_transcription,_DNA-templated	4.22e-31
Regulation_of_transcription_by_RNA_polymerase_II	7.98e-40
Regulation_of_transcription_regulatory_region_DNA_binding	2.16e-05
Regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	0.009
Renal_system_development	1.2e-06
Reproductive_process	0.0003
Reproductive_structure_development	3.14e-06
Respiratory_system_development	0.0065
Response_to_chemical	4.88e-06
Response_to_endogenous_stimulus	0.0011
Response_to_growth_factor	4.17e-06
Response_to_organic_substance	8.8e-05
Response_to_oxygen-containing_compound	0.0029
Response_to_retinoic_acid	1.77e-05
Retina_development_in_camera-type_eye	0.008
Roof_of_mouth_development	3.16e-13
Segment_specification	0.00076
Segmentation	1.02e-06
Sensory_organ_development	2.75e-22
Sensory_organ_morphogenesis	6.25e-15
Sensory_system_development	3.94e-10
Sex_differentiation	3.17e-06
Sinoatrial_node_development	0.00027
Skeletal_muscle_cell_differentiation	0.003
Skeletal_muscle_organ_development	0.00085
Skeletal_muscle_tissue_development	0.0032
Skeletal_system_development	7.48e-21
Skeletal_system_morphogenesis	1.1e-17
Skin_development	0.00034
Smooth_muscle_cell_differentiation	4.58e-05
Smooth_muscle_tissue_development	0.0017
Somite_development	0.002
Specification_of_nephron_tubule_identity	0.001
Spinal_cord_association_neuron_differentiation	0.0052
Spinal_cord_development	7.76e-06
Spinal_cord_motor_neuron_differentiation	0.0043
Stem_cell_differentiation	2.27e-09
Stem_cell_proliferation	0.0016
Striated_muscle_cell_differentiation	0.0065
Striated_muscle_tissue_development	2.04e-06
Subpallium_development	0.0035
System_development	1.52e-44
System_process	0.0065
Telencephalon_development	3.23e-13
Telencephalon_regionalization	1.16e-05
Tissue_development	2.35e-27
Tissue_morphogenesis	1.61e-10
Tongue_morphogenesis	0.00016
Tube_development	2.33e-12
Tube_formation	2.05e-05
Tube_morphogenesis	5.95e-07
Ureteric_bud_development	0.0027
Urogenital_system_development	9.38e-07
Ventral_spinal_cord_development	0.0016
