	cluster1
Columnar/cuboidal_epithelial_cell_differentiation	1.19e-06
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	3.44e-05
Connective_tissue_development	2.55e-07
Cranial_nerve_development	2.94e-05
Cranial_nerve_morphogenesis	0.0045
Cranial_skeletal_system_development	3.8e-09
Dentate_gyrus_development	0.00061
Determination_of_bilateral_symmetry	0.0006
Determination_of_left/right_symmetry	0.0029
Developmental_growth	3.32e-07
Developmental_growth_involved_in_morphogenesis	0.00048
Developmental_maturation	0.00028
Developmental_process	1.51e-35
Developmental_process_involved_in_reproduction	5.25e-05
Diencephalon_development	8.92e-08
Digestive_system_development	8.3e-12
Digestive_tract_development	4.94e-10
Digestive_tract_morphogenesis	0.00016
Dopaminergic_neuron_differentiation	0.00048
Dorsal/ventral_neural_tube_patterning	0.00061
Dorsal/ventral_pattern_formation	4.3e-11
Ear_development	3.35e-15
Ear_morphogenesis	1.99e-12
Embryo_development	3.6e-35
Embryo_development_ending_in_birth_or_egg_hatching	1.38e-22
Embryonic_camera-type_eye_development	4.29e-05
Embryonic_camera-type_eye_morphogenesis	0.00016
Embryonic_cranial_skeleton_morphogenesis	1.15e-09
Embryonic_digestive_tract_development	5.7e-08
Embryonic_digestive_tract_morphogenesis	3.04e-05
Embryonic_digit_morphogenesis	2.09e-06
Embryonic_epithelial_tube_formation	5.11e-05
Embryonic_eye_morphogenesis	3.31e-05
Embryonic_forelimb_morphogenesis	1.71e-09
Embryonic_heart_tube_development	2.15e-06
Embryonic_hindlimb_morphogenesis	1.16e-05
Embryonic_limb_morphogenesis	1.77e-10
Embryonic_morphogenesis	5.36e-32
Embryonic_organ_development	5.65e-32
Embryonic_organ_morphogenesis	1.93e-27
Embryonic_pattern_specification	0.00015
Embryonic_skeletal_joint_development	1.9e-05
Embryonic_skeletal_joint_morphogenesis	0.0002
Embryonic_skeletal_system_development	3.02e-17
Embryonic_skeletal_system_morphogenesis	1.64e-15
Endocardial_cushion_development	0.00014
Endocardial_cushion_morphogenesis	0.00067
Endochondral_bone_morphogenesis	0.0036
Endocrine_system_development	5.52e-09
Endoderm_development	0.0019
Endoderm_formation	0.0029
Endodermal_cell_fate_specification	0.0014
Endothelium_development	0.0045
Epithelial-mesenchymal_cell_signaling	0.0014
Epithelial_cell_development	0.0044
Epithelial_cell_differentiation	9.67e-13
Epithelial_cell_differentiation_involved_in_kidney_development	0.0071
Epithelial_tube_morphogenesis	8.32e-10
Epithelium_development	3.27e-25
Exocrine_system_development	0.001
Eye_development	7.91e-14
Eye_morphogenesis	3.38e-05
Eyelid_development_in_camera-type_eye	0.0068
Forebrain_cell_migration	0.0066
Forebrain_development	3.51e-25
Forebrain_generation_of_neurons	1.15e-06
Forebrain_neuron_differentiation	4.47e-06
Formation_of_primary_germ_layer	3.29e-07
Gastrulation	9e-08
Generation_of_neurons	1.05e-28
Gland_development	2.36e-10
Gland_morphogenesis	0.0059
Glandular_epithelial_cell_differentiation	6.05e-05
Glial_cell_differentiation	1.94e-05
Glial_cell_fate_commitment	0.00026
Gliogenesis	3.55e-05
Glomerulus_development	0.0033
Glomerulus_vasculature_development	0.0014
Gonad_development	0.00055
Head_development	3.83e-27
Heart_development	7.11e-15
Heart_looping	0.0006
Heart_morphogenesis	1.55e-09
Heart_valve_development	0.00073
Hematopoietic_or_lymphoid_organ_development	0.0037
Hindbrain_development	3.69e-08
Hippocampus_development	0.00027
Immune_system_development	0.0024
In_utero_embryonic_development	0.00056
Inner_ear_development	8.5e-10
Inner_ear_morphogenesis	1.39e-06
Inorganic_cation_transmembrane_transport	0.0016
Inorganic_ion_transmembrane_transport	0.00073
Intracellular_receptor_signaling_pathway	0.00015
Kidney_development	2.56e-09
Kidney_epithelium_development	7.75e-10
Kidney_mesenchyme_development	3.7e-05
Leukocyte_differentiation	0.008
Limb_morphogenesis	1e-11
Limbic_system_development	0.00018
Lung_development	0.0031
Lung_epithelium_development	0.0077
Lymph_vessel_development	0.0026
Lymphoid_progenitor_cell_differentiation	0.0058
Mesenchymal_cell_apoptotic_process	0.0058
Mesenchymal_cell_differentiation	7.98e-12
Mesenchymal_cell_differentiation_involved_in_kidney_development	7.58e-05
Mesenchymal_cell_proliferation	0.003
Mesenchymal_to_epithelial_transition	0.00061
Mesenchymal_to_epithelial_transition_involved_in_metanephros_morphogenesis	0.0024
Mesenchyme_development	9.67e-13
Mesenchyme_morphogenesis	1.46e-06
Mesoderm_development	4.27e-09
Mesoderm_formation	9.36e-05
Mesoderm_morphogenesis	9.78e-06
Mesodermal_cell_fate_commitment	0.0094
Mesonephric_tubule_formation	0.0031
Mesonephric_tubule_morphogenesis	2.94e-05
Mesonephros_development	1.97e-09
Metanephric_mesenchyme_development	0.008
Metanephric_nephron_development	2.54e-05
Metanephros_development	5.61e-11
Metencephalon_development	0.0002
Middle_ear_morphogenesis	5.58e-05
Morphogenesis_of_a_branching_structure	1.04e-06
Morphogenesis_of_an_epithelium	3.36e-12
Morphogenesis_of_embryonic_epithelium	2.44e-06
Motor_neuron_migration	0.0058
Multicellular_organism_development	2.48e-40
Multicellular_organismal_process	2.14e-26
Muscle_organ_development	3.64e-09
Muscle_organ_morphogenesis	1.51e-05
Muscle_structure_development	1.77e-07
Muscle_tissue_development	1.96e-11
Muscle_tissue_morphogenesis	9.36e-05
Negative_regulation_of_RNA_metabolic_process	1.36e-25
Negative_regulation_of_T_cell_differentiation_in_thymus	0.0048
Negative_regulation_of_apoptotic_process	3.68e-07
Negative_regulation_of_apoptotic_process_involved_in_morphogenesis	0.0014
Negative_regulation_of_biological_process	8.32e-16
Negative_regulation_of_cell_communication	0.0072
Negative_regulation_of_cell_differentiation	2.79e-13
Negative_regulation_of_cell_population_proliferation	5.23e-07
Negative_regulation_of_cellular_biosynthetic_process	2.34e-23
Negative_regulation_of_cellular_metabolic_process	9.5e-17
Negative_regulation_of_cellular_process	1.43e-18
Negative_regulation_of_developmental_process	3.19e-15
Negative_regulation_of_epithelial_cell_proliferation	1.33e-06
Negative_regulation_of_kidney_development	0.00096
Negative_regulation_of_leukocyte_differentiation	0.0067
Negative_regulation_of_macromolecule_biosynthetic_process	3.51e-24
Negative_regulation_of_macromolecule_metabolic_process	9.81e-15
Negative_regulation_of_mesenchymal_cell_apoptotic_process	0.0039
Negative_regulation_of_multicellular_organismal_process	4.31e-07
Negative_regulation_of_neural_precursor_cell_proliferation	0.0018
Negative_regulation_of_neurogenesis	0.00081
Negative_regulation_of_neuron_differentiation	1.42e-11
Negative_regulation_of_nitrogen_compound_metabolic_process	3.13e-16
Negative_regulation_of_signal_transduction	0.0068
Negative_regulation_of_signaling	0.0076
Negative_regulation_of_transcription,_DNA-templated	2.14e-26
Negative_regulation_of_transcription_by_RNA_polymerase_II	5.32e-27
Nephric_duct_formation	0.00096
Nephric_duct_morphogenesis	0.00026
Nephron_epithelium_development	7.41e-09
Nephron_epithelium_morphogenesis	5.44e-07
Nephron_tubule_development	1.97e-06
Nephron_tubule_formation	0.001
Nephron_tubule_morphogenesis	5.97e-06
Nerve_development	2.91e-05
Nervous_system_development	1.48e-34
Nervous_system_process	0.0011
Neural_crest_cell_development	2.11e-05
Neural_crest_cell_differentiation	5.37e-06
Neural_crest_cell_migration	0.0036
Neural_precursor_cell_proliferation	5.33e-08
Neural_tube_development	4.31e-05
Neural_tube_patterning	2.18e-05
Neuroblast_proliferation	1.39e-05
Neurogenesis	6.67e-27
Neuron_development	3.65e-14
Neuron_differentiation	3.81e-27
Neuron_fate_commitment	8.95e-15
Neuron_fate_specification	0.0045
Neuron_migration	1.08e-08
Neuron_projection_development	1.44e-09
Neuron_projection_morphogenesis	5.75e-11
Notch_signaling_pathway	0.0018
Odontogenesis	3.92e-09
Odontogenesis_of_dentin-containing_tooth	2.15e-06
Olfactory_bulb_development	1.54e-06
Oligodendrocyte_cell_fate_specification	0.00063
Oligodendrocyte_differentiation	0.0017
Outer_ear_morphogenesis	0.0024
Outflow_tract_morphogenesis	1.17e-05
Outflow_tract_septum_morphogenesis	0.0024
Pallium_development	1.8e-10
Pancreas_development	3.8e-09
Parasympathetic_nervous_system_development	0.00086
Pattern_specification_involved_in_kidney_development	0.0031
Pattern_specification_process	5.86e-32
Pericyte_cell_differentiation	0.0048
Pharyngeal_system_development	0.00026
Pituitary_gland_development	5.79e-06
Plasma_membrane_bounded_cell_projection_organization	1.77e-06
Positive_regulation_of_DNA_binding	3.22e-05
Positive_regulation_of_T_cell_differentiation_in_thymus	0.0048
Positive_regulation_of_binding	0.00061
Positive_regulation_of_biological_process	1.71e-12
Positive_regulation_of_bone_mineralization	0.0013
Positive_regulation_of_cell_development	0.0045
Positive_regulation_of_cell_differentiation	2.26e-11
Positive_regulation_of_cell_population_proliferation	2.89e-07
Positive_regulation_of_cellular_biosynthetic_process	7.84e-27
Positive_regulation_of_cellular_metabolic_process	5.62e-20
Positive_regulation_of_cellular_process	2.19e-14
Positive_regulation_of_developmental_process	2.86e-11
Positive_regulation_of_epithelial_cell_differentiation	0.00047
Positive_regulation_of_epithelial_cell_proliferation	0.00028
Positive_regulation_of_epithelial_to_mesenchymal_transition	0.0024
Positive_regulation_of_macromolecule_biosynthetic_process	2.85e-27
Positive_regulation_of_macromolecule_metabolic_process	8.99e-17
Positive_regulation_of_metabolic_process	6.09e-16
Positive_regulation_of_miRNA_transcription	0.0019
Positive_regulation_of_multicellular_organismal_process	5.54e-05
Positive_regulation_of_neural_precursor_cell_proliferation	0.00028
Positive_regulation_of_neuroblast_proliferation	0.003
Positive_regulation_of_neurogenesis	0.0028
Positive_regulation_of_neuron_differentiation	3.62e-07
Positive_regulation_of_nitrogen_compound_metabolic_process	3.72e-18
Positive_regulation_of_smoothened_signaling_pathway	0.0084
Positive_regulation_of_transcription,_DNA-templated	2.1e-29
Positive_regulation_of_transcription_by_RNA_polymerase_II	3.49e-32
Positive_regulation_of_transcription_regulatory_region_DNA_binding	6.58e-06
Prostate_gland_epithelium_morphogenesis	0.0018
Proximal/distal_pattern_formation	3.31e-05
Regionalization	2.54e-29
Regulation_of_DNA-binding_transcription_factor_activity	0.0049
Regulation_of_DNA_binding	4.63e-06
Regulation_of_RNA_metabolic_process	5.17e-33
Regulation_of_T_cell_differentiation_in_thymus	0.0033
Regulation_of_anatomical_structure_morphogenesis	0.001
Regulation_of_apoptotic_process	3.32e-07
Regulation_of_binding	0.00036
Regulation_of_biological_quality	1.89e-05
Regulation_of_bone_mineralization	0.00021
Regulation_of_cell_development	0.00043
Regulation_of_cell_differentiation	3.36e-12
Regulation_of_cell_population_proliferation	4.42e-09
Regulation_of_cellular_biosynthetic_process	2.07e-30
Regulation_of_cellular_metabolic_process	4.42e-23
Regulation_of_cellular_process	6.97e-15
Regulation_of_developmental_growth	0.0066
Regulation_of_developmental_process	5.46e-13
Regulation_of_endothelial_cell_proliferation	0.0039
Regulation_of_epithelial_cell_differentiation	2.76e-07
Regulation_of_epithelial_cell_proliferation	2.17e-11
Regulation_of_epithelial_to_mesenchymal_transition	0.00054
Regulation_of_gene_expression	3.71e-26
Regulation_of_hemopoiesis	0.00082
Regulation_of_immature_T_cell_proliferation_in_thymus	0.0068
Regulation_of_kidney_development	0.00043
Regulation_of_leukocyte_differentiation	0.0058
Regulation_of_macromolecule_biosynthetic_process	5.27e-31
Regulation_of_macromolecule_metabolic_process	4.95e-21
Regulation_of_mesenchymal_cell_proliferation	0.0041
Regulation_of_metabolic_process	2.24e-19
Regulation_of_multicellular_organismal_development	3.96e-10
Regulation_of_multicellular_organismal_process	3.59e-10
Regulation_of_neural_precursor_cell_proliferation	4.07e-05
Regulation_of_neuroblast_proliferation	0.00082
Regulation_of_neurogenesis	6.17e-05
Regulation_of_neuron_apoptotic_process	0.009
Regulation_of_neuron_differentiation	2.09e-15
Regulation_of_nitrogen_compound_metabolic_process	9.53e-23
Regulation_of_ossification	0.00027
Regulation_of_primary_metabolic_process	1.04e-21
Regulation_of_timing_of_cell_differentiation	0.0048
Regulation_of_transcription,_DNA-templated	4.69e-35
Regulation_of_transcription_by_RNA_polymerase_II	4.54e-41
Regulation_of_transcription_regulatory_region_DNA_binding	8.72e-08
Renal_system_development	4.99e-10
Renal_vesicle_development	0.00041
Reproductive_process	0.0058
Reproductive_structure_development	3.25e-09
Respiratory_system_development	0.0014
Response_to_chemical	4.68e-06
Response_to_endogenous_stimulus	0.0015
Response_to_growth_factor	0.00041
Response_to_organic_cyclic_compound	0.0098
Response_to_organic_substance	0.00077
Response_to_retinoic_acid	0.0079
Response_to_stimulus	0.0024
Retina_development_in_camera-type_eye	3.26e-05
Roof_of_mouth_development	1.31e-10
Segmentation	9.19e-08
Semicircular_canal_development	0.0031
Sensory_organ_development	5.24e-25
Sensory_organ_morphogenesis	9.22e-16
Sensory_system_development	1.59e-15
Sex_differentiation	3.64e-06
Signaling	0.0048
Sinoatrial_node_development	0.0058
Skeletal_muscle_cell_differentiation	0.0029
Skeletal_muscle_tissue_development	0.00052
Skeletal_system_development	1.65e-16
Skeletal_system_morphogenesis	2.74e-16
Smooth_muscle_tissue_development	0.0016
Smoothened_signaling_pathway	0.0029
Social_behavior	0.0025
Somatic_stem_cell_population_maintenance	0.0033
Somite_development	0.002
Specification_of_symmetry	8.32e-05
Spinal_cord_development	7.25e-07
Spinal_cord_motor_neuron_differentiation	0.00029
Stem_cell_differentiation	2.26e-11
Stem_cell_population_maintenance	2.24e-05
Stem_cell_proliferation	0.0016
Striated_muscle_tissue_development	2.22e-06
Sympathetic_nervous_system_development	0.0016
System_development	5.59e-40
System_process	2.2e-05
Telencephalon_development	3.42e-16
Telencephalon_regionalization	3.32e-07
Thymus_development	0.002
Tissue_development	2.83e-29
Tissue_morphogenesis	1.96e-15
Transcription,_DNA-templated	0.0019
Transcription_by_RNA_polymerase_II	0.00023
Trigeminal_nerve_development	0.0048
Tube_development	3.96e-23
Tube_formation	2.59e-06
Tube_morphogenesis	1.51e-13
Ureter_development	3.04e-05
Ureter_morphogenesis	0.0019
Ureteric_bud_development	1.73e-08
Ureteric_bud_morphogenesis	0.00034
Urogenital_system_development	6.77e-11
Ventral_spinal_cord_development	5.14e-07
Ventricular_cardiac_muscle_tissue_development	0.00031
Ventricular_cardiac_muscle_tissue_morphogenesis	0.0016
Ventricular_septum_development	0.0097
