	cluster1
Anatomical_structure_development	4.83e-38
Anatomical_structure_formation_involved_in_morphogenesis	1.34e-17
Anatomical_structure_maturation	0.0019
Anatomical_structure_morphogenesis	6.89e-42
Angiogenesis	1.7e-05
Animal_organ_development	3.04e-36
Animal_organ_morphogenesis	2.73e-38
Anterior/posterior_axis_specification	3.48e-05
Anterior/posterior_pattern_specification	3.75e-19
Aortic_valve_morphogenesis	0.00038
Artery_development	5.4e-05
Astrocyte_differentiation	0.0046
Atrial_cardiac_muscle_tissue_development	0.0016
Autonomic_nervous_system_development	0.00016
Axis_specification	4.38e-08
Axon_guidance	6.95e-11
Axonogenesis	1.45e-10
Biological_regulation	3.71e-13
Blood_vessel_development	1.7e-10
Blood_vessel_morphogenesis	1.16e-05
Bone_development	0.002
Bone_morphogenesis	8.13e-05
Brain_development	2.46e-23
Branching_involved_in_blood_vessel_morphogenesis	0.0036
Branching_involved_in_prostate_gland_morphogenesis	0.0048
Branching_morphogenesis_of_an_epithelial_tube	9.49e-07
Camera-type_eye_development	4.4e-13
Camera-type_eye_morphogenesis	5.37e-05
Cardiac_chamber_development	8.76e-07
Cardiac_chamber_morphogenesis	4.63e-06
Cardiac_muscle_tissue_development	1.26e-05
Cardiac_muscle_tissue_morphogenesis	0.00043
Cardiac_right_ventricle_morphogenesis	0.001
Cardiac_septum_development	1.4e-05
Cardiac_septum_morphogenesis	0.00096
Cardiac_ventricle_development	5.75e-07
Cardiac_ventricle_morphogenesis	9.36e-05
Cartilage_development	6.73e-06
Cell-cell_signaling	1.21e-05
Cell_communication	0.0081
Cell_development	8.15e-18
Cell_differentiation	2.27e-35
Cell_differentiation_in_spinal_cord	1.39e-05
Cell_differentiation_involved_in_kidney_development	9.78e-06
Cell_differentiation_involved_in_metanephros_development	1.43e-06
Cell_fate_commitment	2.62e-27
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	1.36e-05
Cell_fate_determination	1.81e-08
Cell_fate_specification	3.36e-16
Cell_maturation	0.002
Cell_migration	1.87e-06
Cell_morphogenesis	3.85e-09
Cell_morphogenesis_involved_in_differentiation	1.66e-10
Cell_morphogenesis_involved_in_neuron_differentiation	7.71e-11
Cell_population_proliferation	1.12e-13
Cell_proliferation_involved_in_kidney_development	0.0048
Cell_surface_receptor_signaling_pathway	0.0094
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	0.0086
Cellular_component_morphogenesis	8.56e-10
Cellular_process	0.0016
Cellular_response_to_BMP_stimulus	0.0065
Cellular_response_to_chemical_stimulus	0.0019
Cellular_response_to_endogenous_stimulus	0.00052
Cellular_response_to_growth_factor_stimulus	0.0093
Cellular_response_to_organic_substance	0.0038
Cellular_response_to_retinoic_acid	0.007
Central_nervous_system_development	7.86e-26
Central_nervous_system_neuron_development	0.00031
Central_nervous_system_neuron_differentiation	1.19e-11
Cerebellum_development	0.00088
Cerebral_cortex_development	4.07e-06
Cerebral_cortex_neuron_differentiation	0.003
Cerebral_cortex_regionalization	0.0019
Chemotaxis	3.1e-07
Chondrocyte_differentiation	2.91e-05
Chordate_embryonic_development	4.29e-22
Circulatory_system_development	2.45e-17
Cochlea_development	0.0024
