GENE,cluster1,cluster2,cluster3
GSX1,0.004300205027181213,0.9956997949728177,0.0
CHAT,0.9999793614897594,2.063851023961771e-05,0.0
ZIC5,0.9996828083098621,0.00031719169013839324,0.0
HAND2,0.0013081270960855272,0.9986918729039133,0.0
BARX1,0.9999743604666853,2.563953331606219e-05,0.0
ARX,0.9998485973334446,0.00015140266655385248,0.0
LHX5,0.9999999994825863,5.174131288524752e-10,0.0
SIX6,0.9990350544188634,0.0009649455811354387,0.0
SLC9A3,0.9966283665002903,0.003371633499709481,0.0
PRSS16,2.377004832468774e-17,1.0,0.0
HMX3,0.9999843774595948,1.562254040444543e-05,0.0
TMEM132E,4.571719108709072e-06,0.9999954282808918,0.0
EBF2,0.9999980237939021,1.976206097666049e-06,0.0
TCTE1,0.9999440355449888,5.5964455010844976e-05,0.0
SLC18A3,0.9999746122454497,2.5387754550197324e-05,0.0
SHTN1,0.9999996711820963,3.288179036148621e-07,0.0
OLIG3,0.9999999999999538,4.7120538285355075e-14,0.0
MSX1,0.9999999999796252,2.037629490062313e-11,0.0
OTP,0.9999334940332135,6.650596678664297e-05,0.0
NKX2-3,0.9999993207885216,6.792114785127245e-07,0.0
DDN,0.9998746502840732,0.0001253497159255507,0.0
NEUROG2,0.9999691231295963,3.0876870404257974e-05,0.0
CRYBA2,0.9999931642035536,6.835796445096149e-06,0.0
TBX20,0.9994971044100706,0.0005028955899297146,0.0
FOXB2,0.9999999764084645,2.3591534868806244e-08,0.0
PDGFB,0.9999681736323804,3.182636762013531e-05,0.0
CDH22,0.03645539497500328,0.9635446050249971,0.0
SLC6A17,1.0,1.2620098613845857e-16,0.0
MAFB,0.9979134039521732,0.0020865960478254246,0.0
RSPO1,0.9999999955595698,4.440431388833172e-09,0.0
UNC5A,0.9928367326514062,0.007163267348592638,0.0
NKX2-6,0.01677205283681608,0.9832279471631845,0.0
HOXC9,4.118795845044674e-236,0.0,1.0
COMP,0.9999488442153908,5.1155784610626145e-05,0.0
CACNG2,0.993234722467097,0.006765277532902199,0.0
NKX3-1,1.3573772001279208e-11,0.9999999999864251,0.0
NEUROG3,0.9999890887461571,1.0911253843123751e-05,0.0
AQP5,0.9999996519645615,3.480354384707996e-07,0.0
ONECUT3,0.0012347181102230786,0.9987652818897754,0.0
ASIC4,0.9995350265195944,0.00046497348040394783,0.0
EPHA10,0.9997724349273904,0.00022756507260776807,0.0
FOXD3,0.9999949891998471,5.010800153119577e-06,0.0
CDK5R2,0.9998826201396096,0.00011737986039120956,0.0
POM121L2,2.0167289566641214e-16,1.0,0.0
IRX4,0.9865017387305697,0.013498261269431325,0.0
CYP26A1,0.9999998672502722,1.3274972935242316e-07,0.0
SEZ6,0.9999999999994955,5.052999317108785e-13,0.0
SSTR5,1.022261369907024e-12,0.9999999999989768,0.0
CPLX1,0.9996941132029346,0.00030588679706518713,0.0
C1QA,0.999909212741743,9.078725825843228e-05,0.0
SMUG1,0.9999989031276304,1.0968723711118438e-06,0.0
FOXC2,0.9999950642603025,4.9357396980773365e-06,0.0
CELF4,0.9721861517500557,0.027813848249943297,0.0
LRCOL1,0.9999999683679169,3.163208248263756e-08,0.0
KCNJ5,0.998340357324311,0.0016596426756904747,0.0
CBX8,0.9999987959222026,1.2040777974198188e-06,0.0
SLC12A5,0.9993661527301865,0.0006338472698147802,0.0
BMP7,0.9986224668409288,0.0013775331590720839,0.0
ADAMTSL2,0.999997124398397,2.8756016028568993e-06,0.0
KCNJ10,0.9998167662011237,0.00018323379887758543,0.0
TCF21,0.836560611068725,0.16343938893127605,0.0
PPP2R2C,0.9997586000071563,0.00024139999284388455,0.0
ANK1,0.999905902090065,9.409790993516536e-05,0.0
BHLHE23,1.618077320220633e-08,0.9999999838192261,0.0
PHACTR3,0.9997796684432321,0.00022033155676891083,0.0
CRMP1,0.9998752797165184,0.00012472028348040867,0.0
FEZF2,0.9999972331951716,2.766804829683895e-06,0.0
PHF24,0.9999096613199601,9.033868004102828e-05,0.0
FOXG1,0.9997423023696355,0.000257697630363534,0.0
KCNIP1,0.9999999821583964,1.7841604294830217e-08,0.0
SNCB,0.9993463510983213,0.000653648901678749,0.0
FEZF1,0.9999986164497564,1.3835502437090274e-06,0.0
ELFN2,0.07191281983786385,0.9280871801621355,0.0
CALY,0.9999960653843011,3.934615698227649e-06,0.0
RFX4,0.9999999999971863,2.8123316900407682e-12,0.0
RTBDN,0.9999999965395254,3.4604751736477476e-09,0.0
CACNA2D4,0.9999929266878573,7.07331214346568e-06,0.0
GBX1,0.999505595077422,0.0004944049225767484,0.0
EMX2,0.36598878484122477,0.6340112151587758,0.0
EXOC6,0.9999999296729019,7.032709873320565e-08,0.0
FAM43B,0.9999999652588946,3.47411068085287e-08,0.0
EBF4,0.9999999659835416,3.401645806775103e-08,0.0
OLFM1,0.9993440624051277,0.0006559375948721309,0.0
ARHGAP36,1.0,6.306138935861323e-28,0.0
TNNI3,0.9997701187638961,0.00022988123610240036,0.0
HMX2,0.999980041563564,1.9958436437484694e-05,0.0
ESX1,0.99999998441211,1.5587889925906933e-08,0.0
SCN4B,0.9177668823654855,0.08223311763451517,0.0
ITPKA,0.9999729960948335,2.700390516593388e-05,0.0
FOXL2,0.9999989287101433,1.0712898561634423e-06,0.0
KCNH2,0.9999999999820801,1.791869285967995e-11,0.0
PAX6,0.999639298135505,0.0003607018644938796,0.0
OTOP2,0.999278384954084,0.0007216150459176882,0.0
DNAJC22,0.999943753762165,5.6246237835574006e-05,0.0
GFI1B,0.9999998945147814,1.0548521870481052e-07,0.0
SLC17A7,0.9999999509079179,4.909208115143456e-08,0.0
DMTN,0.9999994608981805,5.391018197665086e-07,0.0
HPCAL4,2.816464972118068e-07,0.9999997183535042,0.0
GJA3,0.9986808288212854,0.0013191711787155726,0.0
BUB3,0.9990713708052114,0.0009286291947904511,0.0
COL2A1,1.0,4.2857476811516796e-18,0.0
ONECUT1,0.9953256871572438,0.004674312842756126,0.0
SP8,0.9999999998886473,1.113517819485279e-10,0.0
HOXC6,1.3767404090664298e-268,0.0,1.0
TROAP,0.9999998750565708,1.2494342831121399e-07,0.0
NRXN2,0.9999999986179411,1.3820587974564526e-09,0.0
EVX1,2.534010190129854e-63,1.0,0.0
ZDHHC22,0.9999999999999538,4.724868402808784e-14,0.0
POU2F3,0.9959131983140395,0.004086801685960075,0.0
HMX1,6.433132817109292e-07,0.9999993566867191,0.0
C1QC,0.9999987054743608,1.2945256381765732e-06,0.0
SYT5,0.9999746712633024,2.5328736697749498e-05,0.0
FBXL16,0.999998818976356,1.1810236457728254e-06,0.0
