GENE,cluster1,cluster2,cluster3
EN2,4.7341117837574333e-29,1.0,0.0
NEUROD2,0.9999051770853952,9.482291460332624e-05,0.0
MNX1,0.9993497469845692,0.0006502530154319876,0.0
SCRG1,0.0007851615011840295,0.9992148384988147,0.0
FOXD1,0.9422449720003881,0.05775502799961129,0.0
FOXB1,0.9999999999939497,6.048921629554587e-12,0.0
GRM4,0.9999982181677497,1.7818322505936637e-06,0.0
DLX6,0.9999623816610109,3.7618338989123127e-05,0.0
RBFOX3,0.999999825727021,1.7427297840597393e-07,0.0
LMX1B,1.3359038518770616e-10,0.9999999998664109,0.0
NEUROG1,0.9927501263808248,0.0072498736191750025,0.0
CRTAC1,0.999999920201137,7.979886372322677e-08,0.0
POU3F3,0.9999999998195293,1.8046974850645615e-10,0.0
WT1,0.9999845487189287,1.5451281071756054e-05,0.0
NKX2-2,0.9999999734160351,2.6583966580680103e-08,0.0
TTLL6,0.9993843374254038,0.0006156625745948399,0.0
EPHA8,0.9998583289847056,0.0001416710152938505,0.0
VAX2,0.954147244116617,0.04585275588338311,0.0
MSX2,0.9999869836817353,1.3016318263116206e-05,0.0
EBF3,0.999952185585339,4.781441465927291e-05,0.0
IGSF21,0.9780584541961437,0.02194154580385702,0.0
SFRP1,0.9998344076562838,0.00016559234371456305,0.0
FOXA1,0.9999829234635472,1.7076536451002686e-05,0.0
TCHH,0.9549209676658258,0.04507903233417374,0.0
PTF1A,6.648359060831996e-07,0.9999993351640953,0.0
BCAN,0.999996532948546,3.4670514546300304e-06,0.0
LHX9,0.9999837999626519,1.6200037349720316e-05,0.0
DLX3,2.339210975773304e-06,0.9999976607890207,0.0
RNF220,0.999596040129637,0.0004039598703613899,0.0
NTRK1,0.999115368311696,0.0008846316883026542,0.0
NKX6-1,0.9612472975130606,0.0387527024869398,0.0
CDX2,0.9764595034585991,0.023540496541401612,0.0
TFAP2B,0.9989856929136054,0.0010143070863932828,0.0
DLX1,0.9999999999899956,1.000303101994468e-11,0.0
